Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
16,Vitória,38,11,10,17,50,58,-8,43,1.13,11079,Santiago Tréllez - 10,Fernando Miguel,
17,Coritiba,38,11,10,17,42,51,-9,43,1.13,13946,Henrique Almeida - 7,Wilson,Relegated
18,Avaí,38,10,13,15,29,48,-19,43,1.13,7801,Junior Dutra - 9,Douglas Friedrich,Relegated
19,Ponte Preta,38,10,9,19,37,52,-15,39,1.03,6632,Lucca - 13,Aranha,Relegated
20,Atl Goianiense,38,9,9,20,38,56,-18,36,0.95,6434,Luiz Fernando - 9,Felipe Garcia,Relegated
