Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Betão,br BRA,DF,33.0,36.0,8,0,0,26,30,2,1,114,20,0,0,0,Matches
Alemão,br BRA,DF,26.0,33.3,5,0,0,21,33,12,6,95,44,0,1,0,Matches
Judson,br BRA,MF,23.0,29.5,12,0,0,67,23,0,11,83,75,0,1,0,Matches
Leandro Silva,br BRA,DF,28.0,29.7,4,1,1,52,27,3,87,91,58,0,2,0,Matches
Douglas Friedrich,br BRA,GK,28.0,28.0,3,0,0,3,10,0,0,3,1,0,3,0,Matches
Pedro Castro,br BRA,MF,23.0,27.9,4,0,0,33,49,4,76,28,20,0,1,0,Matches
Cappa,br BRA,"DF,MF",24.0,27.3,5,0,0,47,83,4,129,109,52,0,1,1,Matches
Junior Dutra,br BRA,"FW,MF",28.0,26.2,4,0,0,41,43,9,68,27,24,0,0,0,Matches
Rômulo,br BRA,"FW,MF",21.0,23.1,5,0,0,44,42,9,15,24,26,1,0,0,Matches
Wellington Simião,br BRA,MF,29.0,21.9,5,0,0,30,35,4,6,23,15,0,1,0,Matches
Juan,br BRA,"DF,MF",34.0,17.5,6,1,1,27,31,3,79,19,22,0,0,0,Matches
Diederrick Joel,cm CMR,FW,23.0,16.6,4,1,1,37,20,11,18,5,8,0,0,0,Matches
Marquinhos,br BRA,MF,35.0,15.6,1,1,0,10,25,0,147,10,2,0,0,0,Matches
Luan Scapolan,br BRA,MF,28.0,11.8,6,0,0,33,30,0,1,18,15,0,0,0,Matches
João Paulo,br BRA,DF,26.0,11.0,3,0,0,14,10,0,55,27,6,0,0,0,Matches
Maurício Kozlinski,br BRA,GK,25.0,10.0,2,0,0,0,0,0,0,1,0,0,0,0,Matches
Luan Pereira,ae UAE,MF,16.0,10.5,1,0,0,27,39,1,8,13,27,0,0,0,Matches
Maicon Sisenando,br BRA,DF,35.0,7.0,0,0,0,6,11,0,15,16,10,0,0,1,Matches
Willians Santana,br BRA,"FW,MF",28.0,7.1,2,1,0,32,10,1,6,15,15,1,0,0,Matches
Airton,br BRA,DF,26.0,4.1,0,0,0,4,1,0,2,13,0,0,0,0,Matches
Maurinho,br BRA,FW,27.0,5.4,1,0,0,10,17,1,7,7,13,1,0,0,Matches
Diego Tavares,br BRA,FW,25.0,5.2,1,0,0,10,14,1,14,6,2,1,0,0,Matches
Lourenço,br BRA,"FW,MF",19.0,3.9,3,0,0,8,11,2,7,3,2,0,0,0,Matches
Denílson,br BRA,FW,21.0,2.7,0,0,0,2,1,0,3,4,3,0,0,0,Matches
Lucas Otávio,br BRA,MF,22.0,2.8,0,0,0,4,1,1,0,7,4,0,0,0,Matches
Gustavo,br BRA,DF,34.0,2.7,1,0,0,3,2,1,0,9,2,0,1,0,Matches
Caio César,br BRA,MF,21.0,0.4,0,0,0,0,2,0,1,1,0,0,0,0,Matches
Vinícius Pacheco,br BRA,MF,31.0,0.2,0,0,0,1,1,0,0,0,0,0,0,0,Matches
Iury de Castilho,br BRA,"FW,MF",21.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,38.0,86,5,3,592,602,69,762,771,466,4,11,2,
Opponent Total,,,26.7,38.0,87,3,3,652,550,40,963,576,485,10,6,0,
