Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gabriel,br BRA,GK,31.0,34,34,3014,33.5,49,1.46,156,106,74.4,9,11,14,6,17.6,11,9,2,0,18.2,Matches
Mateus Claus,br BRA,GK,29.0,5,4,406,4.5,10,2.22,33,23,69.7,2,1,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,28.1,38,38,3420,38.0,59,1.55,189,129,73.5,11,12,15,6,15.8,11,9,2,0,18.2,
Opponent Total,,,27.7,38,38,3420,38.0,48,1.26,172,123,72.1,15,12,11,7,18.4,1,0,1,0,100.0,
