Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Paulo,br BRA,MF,35.0,2,158.0,79.0,4.6,1.8,2,79.0,1.0,0,,2,0.5,2.0,4.0,-2.0,-1.14,-0.97,2.0,1.8,0.1,0.08,0.22,Matches
Cleberson,br BRA,DF,28.0,5,139.0,28.0,4.1,1.5,1,90.0,1.0,4,12.0,15,1.2,1.0,5.0,-4.0,-2.59,-2.48,0.8,2.6,-1.9,-1.21,-1.12,Matches
Guilherme Santos,br BRA,DF,32.0,2,113.0,57.0,3.3,1.3,1,90.0,1.0,1,23.0,9,0.0,2.0,3.0,-1.0,-0.8,-0.61,0.7,2.6,-1.8,-1.47,-1.39,Matches
Fernando Pacheco Rivas,pe PER,"MF,FW",21.0,16,235.0,15.0,6.9,2.6,0,,0.0,16,15.0,12,0.94,3.0,3.0,0.0,0.0,0.23,3.0,3.4,-0.4,-0.17,-0.04,Matches
Bruninho,br BRA,"MF,FW",20.0,16,211.0,13.0,6.2,2.3,0,,0.0,16,13.0,19,0.81,6.0,2.0,4.0,1.71,2.04,4.6,3.0,1.6,0.68,0.86,Matches
Rafael Bilu,br BRA,"DF,FW",21.0,5,50.0,10.0,1.5,0.6,0,,0.0,5,10.0,6,1.0,1.0,0.0,1.0,1.8,2.04,1.1,0.4,0.7,1.35,1.5,Matches
Nicolás Castillo,cl CHI,"FW,DF",27.0,2,31.0,16.0,0.9,0.3,0,,0.0,2,16.0,4,0.0,1.0,1.0,0.0,0.0,0.21,1.0,0.9,0.1,0.36,0.5,Matches
Matheus Cotulio Bossa,br BRA,MF,27.0,1,22.0,22.0,0.6,0.2,0,,0.0,1,22.0,21,0.0,0.0,1.0,-1.0,-4.09,-3.91,0.3,0.4,-0.1,-0.53,-0.4,Matches
Edwin Mosquera,co COL,MF,19.0,1,3.0,3.0,0.1,0.0,0,,0.0,1,3.0,7,0.0,0.0,1.0,-1.0,-30.0,-29.82,0.0,0.2,-0.2,-7.13,-7.01,Matches
Eltinho,br BRA,DF,33.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,10,1.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.13,Matches
William Assmann,br BRA,GK,23.0,0,,,,,0,,,0,,23,,,,,,,,,,,,Matches
Dudu,br BRA,DF,18.0,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
Kelvi,br BRA,MF,18.0,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
Kelvin,br BRA,DF,20.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.2,38,3420.0,90.0,100.0,38.0,418,82.0,245.0,171,18.0,274,1.21,36.0,44.0,-8.0,-0.21,,37.5,42.4,-4.9,-0.13,,
Opponent Total,,,26.8,38,3420.0,90.0,100.0,38.0,418,82.0,244.0,172,22.0,276,1.45,44.0,36.0,8.0,0.21,,42.4,37.5,4.9,0.13,,
