Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Bruninho,br BRA,"MF,FW",21.0,1.3,38,47,80.9,569,265,26,26,100.0,7,8,87.5,5,10,50.0,0,0.1,0.2,-0.1,1,6,0,0,5,Matches
Felipe Alves Raymundo,br BRA,GK,33.0,1.0,33,40,82.5,1076,801,2,2,100.0,14,14,100.0,16,23,69.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Pará,br BRA,MF,19.0,0.9,29,37,78.4,452,123,12,12,100.0,13,15,86.7,2,5,40.0,0,0.0,0.0,0.0,0,6,0,0,2,Matches
Anderson Leite,br BRA,MF,28.0,0.8,26,30,86.7,496,120,11,12,91.7,12,13,92.3,3,4,75.0,0,0.1,0.1,-0.1,2,2,1,1,2,Matches
Vitor Leque,br BRA,"MF,DF",21.0,0.6,17,22,77.3,276,31,8,11,72.7,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Cauã,br BRA,DF,18.0,0.5,13,19,68.4,220,137,8,9,88.9,3,5,60.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Kelvi,br BRA,MF,19.0,0.5,5,7,71.4,44,31,5,5,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Lucas Ramires,br BRA,DF,19.0,0.3,8,12,66.7,165,75,3,3,100.0,3,4,75.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Guilherme Gehring,br BRA,MF,16.0,0.1,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Weliton,cl CHI,MF,16.0,0.0,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.4,38.0,12244,15890,77.1,234973,90457,4930,5639,87.4,5483,6534,83.9,1655,2980,55.5,18,21.6,23.7,-3.6,326,968,209,89,1216,
Opponent Total,,,27.3,38.0,15426,19014,81.1,283527,98453,6592,7470,88.2,6734,7731,87.1,1817,3002,60.5,48,43.0,41.1,5.0,470,1423,336,109,1826,
