Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gabriel,br BRA,GK,31.0,33.5,49,9,1,2,1,52.7,0.28,4.7,0.14,129,353,36.5,888,135,29.7,32.9,224,39.7,36.2,481,44,9.1,38,1.13,12.4,Matches
Mateus Claus,br BRA,GK,29.0,4.5,10,0,1,1,0,9.1,0.28,-0.9,-0.2,17,62,27.4,112,22,27.7,29.9,41,75.6,48.5,96,2,2.1,3,0.67,10.8,Matches
Squad Total,,,28.1,38.0,59,9,2,3,1,61.7,0.28,3.7,0.1,146,415,35.2,978,157,29.9,,287,42.9,36.5,577,46,8.0,41,1.08,,
Opponent Total,,,27.7,38.0,48,0,1,9,0,52.8,0.31,4.8,0.13,176,442,39.8,864,151,35.9,34.6,304,43.4,36.6,578,35,6.1,27,0.71,12.0,
