Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
João Vitor,br BRA,MF,25.0,32,2588.0,81.0,75.7,28.8,31,83.0,20.0,1,26.0,0,0.78,19.0,41.0,-22.0,-0.77,-0.12,Matches
Fábio Ferreira,br BRA,DF,29.0,30,2700.0,90.0,78.9,30.0,30,90.0,30.0,0,,0,0.83,17.0,43.0,-26.0,-0.87,-0.62,Matches
Eduardo,br BRA,DF,27.0,25,2113.0,85.0,61.8,23.5,24,86.0,20.0,1,45.0,5,0.88,20.0,36.0,-16.0,-0.68,0.14,Matches
Serginho,br BRA,MF,27.0,26,2074.0,80.0,60.6,23.0,24,85.0,20.0,2,18.0,5,0.88,16.0,36.0,-20.0,-0.87,-0.33,Matches
Rodrigo Souza,br BRA,MF,26.0,24,1964.0,82.0,57.4,21.8,23,84.0,16.0,1,30.0,4,0.83,13.0,29.0,-16.0,-0.73,0.01,Matches
Giovanni Palmieri,br BRA,DF,24.0,26,1953.0,75.0,57.1,21.7,22,86.0,19.0,4,16.0,4,0.85,19.0,26.0,-7.0,-0.32,0.97,Matches
Silvio Junior,br BRA,"FW,MF",23.0,22,1737.0,79.0,50.8,19.3,22,79.0,10.0,0,,0,1.05,12.0,21.0,-9.0,-0.47,0.55,Matches
Cléber Santana,br BRA,MF,32.0,20,1770.0,89.0,51.8,19.7,20,89.0,18.0,0,,0,0.75,16.0,29.0,-13.0,-0.66,0.16,Matches
Lucca,br BRA,"FW,MF",23.0,26,1707.0,66.0,49.9,19.0,20,79.0,11.0,6,20.0,7,0.88,20.0,31.0,-11.0,-0.58,0.31,Matches
Bruno Brigido,br BRA,GK,22.0,19,1652.0,87.0,48.3,18.4,19,87.0,18.0,0,,10,0.63,16.0,31.0,-15.0,-0.82,-0.16,Matches
