Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
João Vitor,br BRA,MF,25.0,32,31,2588.0,28.8,0.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches
Fábio Ferreira,br BRA,DF,29.0,30,30,2700.0,30.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Eduardo,br BRA,DF,27.0,25,24,2113.0,23.5,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches
Serginho,br BRA,MF,27.0,26,24,2074.0,23.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Rodrigo Souza,br BRA,MF,26.0,24,23,1964.0,21.8,3.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,0.14,0.05,0.18,0.14,0.18,Matches
Giovanni Palmieri,br BRA,DF,24.0,26,22,1953.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Silvio Junior,br BRA,"FW,MF",23.0,22,22,1737.0,19.3,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.16,0.05,0.21,0.16,0.21,Matches
Cléber Santana,br BRA,MF,32.0,20,20,1770.0,19.7,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Lucca,br BRA,"FW,MF",23.0,26,20,1707.0,19.0,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,0.26,0.21,0.47,0.26,0.47,Matches
Bruno Brigido,br BRA,GK,22.0,19,19,1652.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Cortez,br BRA,DF,26.0,21,17,1568.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
