Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Jean,br BRA,GK,21.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.32,50.0,48.0,2.0,0.05,,Matches
Eduardo,br BRA,DF,30.0,35,3089.0,88.0,90.3,34.3,35,88.0,33.0,0,,0,1.37,46.0,42.0,4.0,0.12,0.66,Matches
Tiago Pagnussat,br BRA,DF,26.0,35,3072.0,88.0,89.8,34.1,35,88.0,32.0,0,,0,1.34,46.0,43.0,3.0,0.09,0.35,Matches
Zé Rafael,br BRA,MF,23.0,36,2845.0,79.0,83.2,31.6,35,80.0,15.0,1,45.0,0,1.33,38.0,41.0,-3.0,-0.09,-0.88,Matches
Renê Júnior,br BRA,MF,27.0,30,2640.0,88.0,77.2,29.3,30,88.0,25.0,0,,1,1.33,38.0,38.0,0.0,0.0,-0.23,Matches
Stiven Mendoza,co COL,"FW,MF",24.0,31,2408.0,78.0,70.4,26.8,27,85.0,19.0,4,27.0,0,1.29,33.0,33.0,0.0,0.0,-0.18,Matches
Lucas Fonseca,br BRA,DF,31.0,26,2196.0,84.0,64.2,24.4,26,84.0,22.0,0,,1,1.54,36.0,25.0,11.0,0.45,1.11,Matches
Edigar Junio,br BRA,FW,25.0,26,1911.0,74.0,55.9,21.2,21,85.0,15.0,5,24.0,0,1.31,31.0,23.0,8.0,0.38,0.73,Matches
Edson,br BRA,"DF,MF",25.0,21,1643.0,78.0,48.0,18.3,19,83.0,14.0,2,36.0,3,1.38,25.0,21.0,4.0,0.22,0.32,Matches
Agustín Allione,ar ARG,MF,22.0,26,1558.0,60.0,45.6,17.3,19,72.0,4.0,7,28.0,4,1.42,23.0,18.0,5.0,0.29,0.43,Matches
Matheus Reis,br BRA,"DF,MF",21.0,19,1619.0,85.0,47.3,18.0,18,89.0,17.0,1,19.0,16,1.32,23.0,24.0,-1.0,-0.06,-0.21,Matches
Juninho,br BRA,MF,30.0,28,1794.0,64.0,52.5,19.9,17,85.0,14.0,11,32.0,8,1.43,28.0,24.0,4.0,0.2,0.31,Matches
Vinícius,br BRA,"FW,MF",25.0,27,1308.0,48.0,38.2,14.5,17,60.0,1.0,10,29.0,5,1.19,12.0,15.0,-3.0,-0.21,-0.42,Matches
Juninho Capixaba,br BRA,"DF,MF",19.0,17,1468.0,86.0,42.9,16.3,16,90.0,15.0,1,32.0,17,1.53,22.0,18.0,4.0,0.25,0.34,Matches
Régis,br BRA,MF,24.0,29,1203.0,41.0,35.2,13.4,15,59.0,1.0,14,22.0,3,1.43,29.0,26.0,3.0,0.22,0.27,Matches
Rodrigão,br BRA,FW,23.0,14,1060.0,76.0,31.0,11.8,12,83.0,8.0,2,32.0,0,1.43,16.0,14.0,2.0,0.17,0.17,Matches
Matheus Sales,br BRA,MF,21.0,14,803.0,57.0,23.5,8.9,8,88.0,7.0,6,16.0,19,1.5,11.0,8.0,3.0,0.34,0.37,Matches
Thiago Martins,br BRA,DF,21.0,11,749.0,68.0,21.9,8.3,7,91.0,7.0,4,29.0,4,1.45,11.0,9.0,2.0,0.24,0.24,Matches
