Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel Boschilia,br BRA,MF,25.0,8,475.0,59.0,13.9,5.3,7,61.0,0,1,45.0,1,0.88,3.0,9.0,-6.0,-1.14,-0.68,3.1,6.7,-3.6,-0.67,-0.44,Matches
Rafael William,br BRA,GK,20.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,,16,0.67,6.0,14.0,-8.0,-1.33,-0.93,6.9,10.4,-3.5,-0.59,-0.34,Matches
Andrey Ramos do Nascimento,br BRA,MF,23.0,6,485.0,81.0,14.2,5.4,6,81.0,2,0,,0,1.5,8.0,7.0,1.0,0.19,0.86,8.2,5.5,2.7,0.51,0.94,Matches
Diego Porfirio,br BRA,DF,22.0,8,449.0,56.0,13.1,5.0,5,70.0,1,3,33.0,10,1.13,4.0,8.0,-4.0,-0.8,-0.29,5.5,6.1,-0.7,-0.14,0.18,Matches
Nathan Mendes,br BRA,DF,19.0,10,448.0,45.0,13.1,5.0,5,68.0,1,5,21.0,7,0.8,3.0,6.0,-3.0,-0.6,-0.06,4.7,6.8,-2.1,-0.42,-0.14,Matches
Matheus Cadorini,br BRA,FW,19.0,7,316.0,45.0,9.2,3.5,4,53.0,0,3,35.0,2,1.0,5.0,7.0,-2.0,-0.57,-0.02,4.9,4.7,0.2,0.05,0.38,Matches
Clayton,br BRA,"FW,MF",23.0,9,328.0,36.0,9.6,3.6,3,68.0,1,6,21.0,5,1.33,5.0,9.0,-4.0,-1.1,-0.6,4.4,5.2,-0.7,-0.2,0.1,Matches
José Hugo,br BRA,"FW,MF",22.0,13,393.0,30.0,11.5,4.4,2,70.0,0,11,23.0,12,1.0,4.0,5.0,-1.0,-0.23,0.37,4.7,7.4,-2.7,-0.61,-0.35,Matches
Márcio Silva,br BRA,DF,20.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,24,1.5,3.0,5.0,-2.0,-1.0,-0.47,3.0,2.7,0.3,0.15,0.47,Matches
Juan Díaz,co COL,MF,20.0,4,137.0,34.0,4.0,1.5,1,90.0,1,3,16.0,6,1.0,1.0,2.0,-1.0,-0.66,-0.11,1.1,3.6,-2.5,-1.62,-1.38,Matches
Hernán Pérez,py PAR,FW,32.0,2,96.0,48.0,2.8,1.1,1,72.0,0,1,24.0,3,0.0,1.0,3.0,-2.0,-1.87,-1.36,0.9,1.7,-0.7,-0.69,-0.41,Matches
Neílton,br BRA,"FW,DF",27.0,4,85.0,21.0,2.5,0.9,1,45.0,0,3,13.0,5,0.8,0.0,4.0,-4.0,-4.24,-3.78,1.2,1.1,0.2,0.18,0.49,Matches
Biel Fonseca,br BRA,"FW,MF",19.0,5,101.0,20.0,3.0,1.1,0,,0,5,20.0,9,0.4,1.0,4.0,-3.0,-2.67,-2.19,0.7,2.3,-1.6,-1.5,-1.24,Matches
João Vitor,br BRA,MF,21.0,1,13.0,13.0,0.4,0.1,0,,0,1,13.0,0,0.0,0.0,1.0,-1.0,-6.92,-6.39,0.1,0.3,-0.2,-1.65,-1.36,Matches
Pablo Javier García,uy URU,FW,22.0,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,13,3.0,0.0,0.0,0.0,0.0,0.55,0.2,0.3,-0.2,-1.73,-1.43,Matches
Thalisson Gabriel,br BRA,DF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Kaio,br BRA,"FW,MF",17.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Maicky,br BRA,MF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marcao,br BRA,GK,21.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Geovane Meurer,br BRA,MF,19.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,27.5,38,3420.0,90.0,100.0,38.0,418,79.0,233,180,25.0,272,1.11,39.0,60.0,-21.0,-0.55,,42.3,53.6,-11.3,-0.3,,
Opponent Total,,,27.2,38,3420.0,90.0,100.0,38.0,418,79.0,235,180,23.0,262,1.74,60.0,39.0,21.0,0.55,,53.6,42.3,11.3,0.3,,
