Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Wilson,br BRA,GK,36.0,34,3059.0,90.0,89.4,34.0,34,90.0,33.0,0,,0,0.82,29.0,47.0,-18.0,-0.53,0.72,35.5,55.2,-19.8,-0.58,0.34,Matches
José Sabino,br BRA,DF,23.0,31,2724.0,88.0,79.6,30.3,31,88.0,29.0,0,,0,0.9,23.0,37.0,-14.0,-0.46,0.7,31.5,45.7,-14.2,-0.47,0.73,Matches
Robson,br BRA,"FW,MF",28.0,32,2469.0,77.0,72.2,27.4,29,82.0,15.0,3,29.0,0,0.72,22.0,42.0,-20.0,-0.73,-0.45,27.4,42.7,-15.2,-0.56,0.23,Matches
William Matheus,br BRA,DF,29.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,0,0.83,19.0,32.0,-13.0,-0.54,0.17,25.9,39.1,-13.2,-0.55,0.19,Matches
Hugo Moura,br BRA,MF,22.0,28,2156.0,77.0,63.0,24.0,24,84.0,13.0,4,35.0,0,0.86,22.0,35.0,-13.0,-0.54,0.17,23.1,32.6,-9.5,-0.39,0.6,Matches
Matheus Sales,br BRA,"MF,DF",24.0,21,1699.0,81.0,49.7,18.9,20,84.0,14.0,1,13.0,1,0.86,16.0,24.0,-8.0,-0.42,0.36,21.9,29.6,-7.7,-0.41,0.42,Matches
Matheus Galdezani,br BRA,MF,27.0,24,1534.0,64.0,44.9,17.0,19,72.0,3.0,5,33.0,4,0.75,14.0,25.0,-11.0,-0.65,-0.07,16.4,28.6,-12.2,-0.71,-0.17,Matches
Nathan Silva,br BRA,"MF,DF",22.0,19,1476.0,78.0,43.2,16.4,17,82.0,10.0,2,39.0,4,0.74,12.0,21.0,-9.0,-0.55,0.1,13.1,27.9,-14.8,-0.91,-0.51,Matches
Jonathan,br BRA,DF,27.0,24,1566.0,65.0,45.8,17.4,16,85.0,13.0,8,25.0,6,0.83,14.0,23.0,-9.0,-0.52,0.16,17.2,27.0,-9.8,-0.56,0.1,Matches
Neílton,br BRA,"FW,MF",25.0,24,1458.0,61.0,42.6,16.2,16,76.0,4.0,8,30.0,4,1.04,18.0,16.0,2.0,0.12,1.27,17.0,21.8,-4.8,-0.3,0.56,Matches
Matheus Bueno,br BRA,"MF,FW",21.0,27,1316.0,49.0,38.5,14.6,16,68.0,2.0,11,20.0,8,0.96,12.0,18.0,-6.0,-0.41,0.32,14.0,21.8,-7.8,-0.53,0.14,Matches
Rhodolfo,br BRA,DF,33.0,17,1345.0,79.0,39.3,14.9,15,87.0,12.0,2,22.0,4,0.76,8.0,21.0,-13.0,-0.87,-0.44,14.6,22.2,-7.6,-0.51,0.18,Matches
Giovanni Augusto,br BRA,"MF,FW",30.0,20,1275.0,64.0,37.3,14.2,15,78.0,7.0,5,21.0,1,0.8,14.0,18.0,-4.0,-0.28,0.51,19.5,23.5,-4.0,-0.28,0.53,Matches
Natanael,br BRA,DF,18.0,17,1042.0,61.0,30.5,11.6,12,77.0,8.0,5,23.0,16,1.06,12.0,18.0,-6.0,-0.52,0.13,13.1,19.1,-6.0,-0.52,0.15,Matches
Rodolfo Filemon,br BRA,DF,25.0,14,1005.0,72.0,29.4,11.2,12,81.0,9.0,2,17.0,1,0.87,8.0,19.0,-11.0,-0.99,-0.54,11.2,21.0,-9.8,-0.88,-0.37,Matches
Ricardo Oliveira,br BRA,FW,39.0,18,964.0,54.0,28.2,10.7,10,75.0,3.0,8,27.0,3,0.89,8.0,12.0,-4.0,-0.37,0.32,9.7,15.9,-6.1,-0.57,0.06,Matches
