Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Wilson,br BRA,GK,33.0,38,38,3420,38.0,51,1.34,173,127,72.3,11,10,17,10,26.3,6,3,2,1,40.0,Matches
Squad Total,,,27.0,38,38,3420,38.0,51,1.34,173,127,72.3,11,10,17,10,26.3,6,3,2,1,40.0,
Opponent Total,,,27.0,38,38,3420,38.0,42,1.11,156,123,76.9,17,10,11,14,36.8,11,6,3,2,33.3,
