Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gabriel,br BRA,GK,30.0,31,31,2765,30.7,60,1.95,169,110,68.6,7,5,19,6,19.4,8,7,1,0,12.5,Matches
Luan Polli,br BRA,GK,29.0,5,4,385,4.3,9,2.1,30,21,73.3,1,0,3,0,0.0,1,1,0,0,0.0,Matches
Pedro Morisco,br BRA,GK,19.0,3,3,270,3.0,4,1.33,21,17,85.7,0,1,2,0,0.0,1,1,0,0,0.0,Matches
Squad Total,,,27.1,38,38,3420,38.0,73,1.92,220,148,70.9,8,6,24,6,15.8,10,9,1,0,10.0,
Opponent Total,,,27.5,38,38,3420,38.0,41,1.08,148,108,77.7,24,6,8,11,28.9,9,8,0,1,0.0,
