Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
16,Vitória,38,12,9,17,51,53,-2,45,1.18,13997,Marinho - 12,Fernando Miguel,
17,Internacional,38,11,10,17,35,41,-6,43,1.13,25838,Vitinho - 8,Danilo Fernandes,Relegated
18,Figueirense,38,8,13,17,30,50,-20,37,0.97,6628,Rafael Moura - 8,Gatito Fernández,Relegated
19,Santa Cruz,38,8,7,23,45,69,-24,31,0.82,9856,Grafite - 13,Tiago Cardoso,Relegated
20,América (MG),38,7,7,24,23,58,-35,28,0.74,4301,Danilo Barcelos - 4,João Ricardo Riedi,Relegated
