Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bruno Fabiano Alves,br BRA,DF,24.0,34,2982.0,88.0,87.2,33.1,32,90.0,32.0,2,50.0,3,0.94,28.0,47.0,-19.0,-0.57,-0.37,Matches
Ayrton Ganino,br BRA,DF,30.0,31,2675.0,86.0,78.2,29.7,30,88.0,28.0,1,31.0,4,1.0,24.0,41.0,-17.0,-0.57,-0.21,Matches
Marquinhos Pedroso,br BRA,DF,22.0,29,2534.0,87.0,74.1,28.2,29,87.0,26.0,0,,4,1.0,21.0,37.0,-16.0,-0.57,-0.16,Matches
Rafael Moura,br BRA,FW,32.0,29,2480.0,86.0,72.5,27.6,29,86.0,25.0,0,,1,1.14,25.0,34.0,-9.0,-0.33,0.73,Matches
Gatito Fernández,py PAR,GK,27.0,28,2470.0,88.0,72.2,27.4,28,88.0,27.0,0,,7,0.96,21.0,37.0,-16.0,-0.58,-0.2,Matches
Ferrugem,br BRA,"DF,MF",27.0,27,1796.0,67.0,52.5,20.0,23,74.0,9.0,4,22.0,2,1.07,15.0,28.0,-13.0,-0.65,-0.26,Matches
Werley,br BRA,DF,27.0,21,1790.0,85.0,52.3,19.9,20,89.0,19.0,1,9.0,9,0.9,15.0,26.0,-11.0,-0.55,-0.06,Matches
Bady,br BRA,MF,26.0,24,1663.0,69.0,48.6,18.5,20,78.0,10.0,4,27.0,8,0.75,12.0,27.0,-15.0,-0.81,-0.56,Matches
Lins Lima de Brito,br BRA,"FW,MF",28.0,25,1693.0,68.0,49.5,18.8,19,78.0,7.0,6,35.0,1,1.12,17.0,23.0,-6.0,-0.32,0.41,Matches
Marquinhos,br BRA,DF,33.0,19,1626.0,86.0,47.5,18.1,19,86.0,18.0,0,,8,1.26,10.0,19.0,-9.0,-0.5,0.05,Matches
Elicarlos,br BRA,MF,30.0,19,1546.0,81.0,45.2,17.2,19,81.0,15.0,0,,1,1.21,12.0,17.0,-5.0,-0.29,0.43,Matches
Jackson Caucaia,br BRA,MF,29.0,19,1398.0,74.0,40.9,15.5,17,78.0,9.0,2,36.0,11,0.95,13.0,24.0,-11.0,-0.71,-0.31,Matches
Dodô,br BRA,MF,21.0,18,1226.0,68.0,35.8,13.6,14,80.0,6.0,4,26.0,13,1.06,11.0,13.0,-2.0,-0.15,0.59,Matches
Jefferson,br BRA,MF,22.0,19,1327.0,70.0,38.8,14.7,13,89.0,12.0,6,29.0,18,1.11,16.0,18.0,-2.0,-0.14,0.64,Matches
Gustavo Ermel,br BRA,FW,20.0,22,1035.0,47.0,30.3,11.5,12,68.0,1.0,10,23.0,10,1.09,9.0,10.0,-1.0,-0.09,0.63,Matches
Thiago Rodrigues,br BRA,GK,27.0,9,766.0,85.0,22.4,8.5,8,90.0,8.0,1,45.0,21,1.0,9.0,11.0,-2.0,-0.23,0.38,Matches
Pará,br BRA,DF,20.0,9,721.0,80.0,21.1,8.0,8,90.0,7.0,1,4.0,16,1.0,7.0,9.0,-2.0,-0.25,0.35,Matches
Josa,br BRA,MF,31.0,8,674.0,84.0,19.7,7.5,7,90.0,6.0,1,45.0,1,0.25,2.0,12.0,-10.0,-1.34,-1.01,Matches
Renato,br BRA,MF,24.0,14,668.0,48.0,19.5,7.4,7,70.0,2.0,7,26.0,9,1.21,4.0,7.0,-3.0,-0.4,0.15,Matches
Rafael Silva,br BRA,FW,25.0,15,650.0,43.0,19.0,7.2,7,62.0,2.0,8,27.0,4,0.53,7.0,12.0,-5.0,-0.69,-0.2,Matches
Dudu,br BRA,"FW,MF",25.0,11,637.0,58.0,18.6,7.1,7,75.0,3.0,4,29.0,0,1.0,4.0,6.0,-2.0,-0.28,0.3,Matches
Jocinei Schad,br BRA,MF,25.0,10,587.0,59.0,17.2,6.5,7,75.0,3.0,3,21.0,8,0.7,7.0,11.0,-4.0,-0.61,-0.1,Matches
Carlos Alberto,br BRA,MF,31.0,8,528.0,66.0,15.4,5.9,7,72.0,2.0,1,24.0,1,0.88,6.0,11.0,-5.0,-0.85,-0.39,Matches
Yago,br BRA,MF,20.0,12,634.0,53.0,18.5,7.0,6,79.0,3.0,6,26.0,17,0.92,5.0,11.0,-6.0,-0.85,-0.4,Matches
Elvis Vieira Araújo,br BRA,"FW,MF",25.0,11,475.0,43.0,13.9,5.3,5,67.0,0.0,6,23.0,6,0.55,5.0,10.0,-5.0,-0.95,-0.49,Matches
Éverton Santos,br BRA,"FW,MF",29.0,14,565.0,40.0,16.5,6.3,4,79.0,1.0,10,25.0,5,0.57,3.0,12.0,-9.0,-1.43,-1.09,Matches
Jaimerson Xavier,br BRA,FW,25.0,4,360.0,90.0,10.5,4.0,4,90.0,4.0,0,,4,0.75,5.0,6.0,-1.0,-0.25,0.31,Matches
Maurides,br BRA,FW,21.0,6,349.0,58.0,10.2,3.9,3,91.0,3.0,3,25.0,8,1.33,3.0,6.0,-3.0,-0.77,-0.28,Matches
Nirley,br BRA,DF,27.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,8,0.75,4.0,7.0,-3.0,-1.0,-0.51,Matches
Guilherme Queiróz,br BRA,FW,25.0,10,264.0,26.0,7.7,2.9,2,59.0,0.0,8,18.0,6,1.4,3.0,3.0,0.0,0.0,0.57,Matches
Matheusinho,br BRA,MF,18.0,5,220.0,44.0,6.4,2.4,2,80.0,1.0,3,20.0,4,1.2,2.0,1.0,1.0,0.41,1.0,Matches
Júnior Oliveira,br BRA,GK,26.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,13,0.5,0.0,2.0,-2.0,-1.0,-0.5,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,18.0,2,173.0,87.0,5.1,1.9,2,87.0,1.0,0,,3,1.5,1.0,2.0,-1.0,-0.52,0.01,Matches
Guilherme Morassi,br BRA,MF,21.0,2,94.0,47.0,2.7,1.0,1,91.0,1.0,1,3.0,14,0.5,2.0,3.0,-1.0,-0.96,-0.44,Matches
Henrique Trevisan,br BRA,DF,19.0,1,60.0,60.0,1.8,0.7,1,60.0,0.0,0,,6,0.0,0.0,1.0,-1.0,-1.5,-0.99,Matches
Marlon Bruno,br BRA,DF,22.0,1,56.0,56.0,1.6,0.6,1,56.0,0.0,0,,9,0.0,0.0,1.0,-1.0,-1.61,-1.1,Matches
Michael Ortega,co COL,MF,24.0,7,142.0,20.0,4.2,1.6,0,,0.0,7,20.0,11,0.43,2.0,2.0,0.0,0.0,0.55,Matches
Pedrinho,br BRA,MF,19.0,2,37.0,19.0,1.1,0.4,0,,0.0,2,18.0,0,1.5,0.0,1.0,-1.0,-2.43,-1.93,Matches
Marcus Índio,br BRA,FW,18.0,1,30.0,30.0,0.9,0.3,0,,0.0,1,29.0,5,0.0,0.0,1.0,-1.0,-3.0,-2.5,Matches
Alisson,br BRA,GK,20.0,0,,,,,0,,0.0,0,,10,,,,,,,Matches
Luan,br BRA,MF,24.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
