Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Otávio,br BRA,MF,21.0,35,3128.0,89.0,91.5,34.8,35,89.0,33.0,0,,1,1.63,36.0,25.0,11.0,0.32,1.86,Matches
Thiago Heleno,br BRA,DF,27.0,33,2954.0,90.0,86.4,32.8,33,90.0,32.0,0,,0,1.64,31.0,23.0,8.0,0.24,0.63,Matches
Wéverton,br BRA,GK,28.0,30,2700.0,90.0,78.9,30.0,30,90.0,30.0,0,,0,1.57,31.0,26.0,5.0,0.17,0.04,Matches
Pablo,br BRA,"FW,MF",23.0,33,2624.0,80.0,76.7,29.2,30,86.0,23.0,3,18.0,1,1.55,32.0,23.0,9.0,0.31,0.65,Matches
Leonardo Morais,br BRA,DF,24.0,30,2537.0,85.0,74.2,28.2,30,85.0,26.0,0,,4,1.77,31.0,19.0,12.0,0.43,1.04,Matches
Hernani,br BRA,MF,21.0,30,2453.0,82.0,71.7,27.3,28,86.0,24.0,2,24.0,4,1.57,30.0,21.0,9.0,0.33,0.61,Matches
Paulo André,br BRA,DF,32.0,26,2311.0,89.0,67.6,25.7,26,89.0,25.0,0,,2,1.35,25.0,23.0,2.0,0.08,-0.25,Matches
Sidcley,br BRA,"DF,MF",22.0,26,1981.0,76.0,57.9,22.0,22,86.0,21.0,4,21.0,2,1.58,21.0,21.0,0.0,0.0,-0.38,Matches
André Lima,br BRA,FW,30.0,26,1820.0,70.0,53.2,20.2,21,80.0,12.0,5,30.0,3,1.58,22.0,12.0,10.0,0.49,0.72,Matches
Lucas Fernandes,br BRA,"FW,MF",21.0,20,1203.0,60.0,35.2,13.4,15,73.0,4.0,5,21.0,1,1.5,17.0,8.0,9.0,0.67,0.8,Matches
Nikão,br BRA,"FW,MF",23.0,19,1274.0,67.0,37.3,14.2,13,83.0,5.0,6,32.0,0,1.53,16.0,17.0,-1.0,-0.07,-0.36,Matches
Nicolas,br BRA,DF,18.0,15,1202.0,80.0,35.1,13.4,13,86.0,10.0,2,45.0,12,1.53,16.0,10.0,6.0,0.45,0.45,Matches
Walter,br BRA,FW,26.0,19,1090.0,57.0,31.9,12.1,12,79.0,6.0,7,20.0,0,1.58,9.0,14.0,-5.0,-0.41,-0.84,Matches
Lucho González,ar ARG,MF,35.0,12,911.0,76.0,26.6,10.1,12,76.0,3.0,0,,0,1.5,11.0,8.0,3.0,0.3,0.19,Matches
Wanderson,br BRA,DF,24.0,13,1065.0,82.0,31.1,11.8,11,90.0,11.0,2,37.0,23,1.62,14.0,9.0,5.0,0.42,0.38,Matches
Vinícius,br BRA,"FW,MF",24.0,15,957.0,64.0,28.0,10.6,11,76.0,5.0,4,30.0,1,1.67,10.0,7.0,3.0,0.28,0.17,Matches
Matheus Rossetto,br BRA,MF,19.0,15,853.0,57.0,24.9,9.5,9,73.0,3.0,6,32.0,11,1.47,12.0,7.0,5.0,0.53,0.49,Matches
Marcos Guilherme,br BRA,"FW,MF",20.0,20,804.0,40.0,23.5,8.9,8,70.0,1.0,12,21.0,10,1.2,3.0,11.0,-8.0,-0.9,-1.38,Matches
Santos,br BRA,GK,25.0,8,720.0,90.0,21.1,8.0,8,90.0,8.0,0,,25,1.25,7.0,6.0,1.0,0.12,-0.04,Matches
