Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-10-31,21:30,Série A,Matchweek 29,Thu,Away,D,1,1,Internacional,1.4,2.5,46,18767.0,Wellington Martins,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2019-11-03,19:00,Série A,Matchweek 30,Sun,Home,W,1,0,CSA,2.6,0.3,65,10681.0,Thiago Heleno,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2019-11-06,21:30,Série A,Matchweek 31,Wed,Home,D,0,0,Cruzeiro,2.0,0.5,65,11838.0,Wellington Martins,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2019-11-10,17:00,Série A,Matchweek 32,Sun,Away,W,1,0,São Paulo,0.4,1.1,37,13795.0,Wellington Martins,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,
2019-11-17,18:00,Série A,Matchweek 33,Sun,Home,W,1,0,Botafogo (RJ),2.4,0.5,58,17027.0,Wellington Martins,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2019-11-24,16:00,Série A,Matchweek 34,Sun,Away,W,1,0,Atlético Mineiro,0.6,1.7,55,34432.0,Santos,4-2-3-1,4-4-2,Edina Alves Batista,Match Report,
2019-11-27,21:30,Série A,Matchweek 35,Wed,Home,W,2,0,Grêmio,2.1,0.4,59,20974.0,Wellington Martins,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2019-11-30,19:00,Série A,Matchweek 36,Sat,Away,D,1,1,Ceará,0.7,2.1,49,24262.0,Thiago Heleno,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2019-12-04,19:00,Série A,Matchweek 37,Wed,Home,W,1,0,Santos,0.4,0.6,51,29746.0,Wellington Martins,4-2-3-1,4-3-3,Anderson Daronco,Match Report,
2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,D,0,0,Avaí,1.0,1.1,61,2445.0,Thiago Heleno,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
