Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Bento,br BRA,GK,23.0,33.0,37,4,1,5,0,36.8,0.22,-0.2,-0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21,0.64,11.9,Matches
Leonardo Linck,br BRA,GK,21.0,5.0,6,0,0,1,0,9.9,0.3,3.9,0.77,24,75,32.0,102,24,55.9,43.3,30,60.0,48.9,71,1,1.4,3,0.6,17.8,Matches
Squad Total,,,26.1,38.0,43,4,1,6,0,46.6,0.24,3.6,0.1,137,462,29.7,686,152,44.5,,325,48.3,41.0,561,36,6.4,24,0.63,,
Opponent Total,,,27.6,38.0,51,4,1,5,0,53.2,0.29,2.2,0.06,200,508,39.4,863,180,37.2,35.1,371,50.4,40.1,561,32,5.7,39,1.03,14.4,
