Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Santos,br BRA,GK,29.0,33.0,30,3,0,4,2,38.5,0.26,10.5,0.32,195,465,41.9,1049,173,34.3,34.4,277,37.9,36.7,523,10,1.9,31,0.94,14.4,Matches
Jandrei,br BRA,GK,26.0,4.0,3,0,0,2,0,4.6,0.25,1.6,0.4,24,46,52.2,116,11,31.9,33.2,36,25.0,30.5,48,0,0.0,3,0.75,17.1,Matches
Bento,br BRA,GK,20.0,1.0,3,0,0,1,0,2.6,0.44,-0.4,-0.43,4,15,26.7,28,5,42.9,38.2,12,25.0,31.8,25,0,0.0,0,0.0,7.7,Matches
Squad Total,,,25.4,38.0,36,3,0,7,2,45.7,0.27,11.7,0.31,223,526,42.4,1192,189,34.2,,326,36.2,35.9,596,10,1.7,34,0.89,,
Opponent Total,,,26.4,38.0,38,0,0,1,0,39.0,0.28,1.0,0.03,163,444,36.7,909,137,36.2,34.7,273,42.1,37.4,515,13,2.5,26,0.68,14.1,
