Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bento,br BRA,GK,23.0,33,33,2970,33.0,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3,Matches
Leonardo Linck,br BRA,GK,21.0,5,5,450,5.0,6,1.2,30,23,80.0,2,3,0,1,20.0,1,0,1,0,100.0,Matches
Squad Total,,,26.1,38,38,3420,38.0,43,1.13,170,124,77.1,14,14,10,10,26.3,7,4,3,0,42.9,
Opponent Total,,,27.6,38,38,3420,38.0,51,1.34,172,121,72.7,10,14,14,8,21.1,4,4,0,0,0.0,
