Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-10-01,19:00,Série A,Matchweek 26,Sun,Home,L,0,2,Atlético Mineiro,63,11418.0,Thiago Heleno,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2017-10-11,19:30,Série A,Matchweek 27,Wed,Home,D,2,2,Atl Goianiense,62,5864.0,Wéverton,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
2017-10-14,21:00,Série A,Matchweek 28,Sat,Away,L,1,2,São Paulo,44,26833.0,Wéverton,4-4-2,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2017-10-19,19:00,Série A,Matchweek 29,Thu,Away,W,3,2,Vitória,38,7741.0,Wéverton,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2017-10-22,17:00,Série A,Matchweek 30,Sun,Home,W,2,1,Sport Recife,57,10407.0,Wéverton,4-2-3-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2017-10-28,21:00,Série A,Matchweek 31,Sat,Home,D,0,0,Chapecoense,63,9774.0,Wéverton,4-2-3-1,4-4-2,Jailson Macêdo Freitas,Match Report,
2017-11-05,17:00,Série A,Matchweek 32,Sun,Away,L,0,1,Cruzeiro,52,8157.0,Wéverton,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2017-11-08,21:00,Série A,Matchweek 33,Wed,Home,L,0,1,Corinthians,62,18062.0,Wéverton,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2017-11-11,17:00,Série A,Matchweek 34,Sat,Away,W,1,0,Botafogo (RJ),43,8399.0,Wéverton,4-2-3-1,4-4-1-1,Anderson Daronco,Match Report,
2017-11-15,17:00,Série A,Matchweek 35,Wed,Away,L,1,2,Ponte Preta,60,5997.0,Wéverton,4-2-3-1,4-1-4-1,Wilton Sampaio,Match Report,
2017-11-19,19:00,Série A,Matchweek 36,Sun,Home,W,3,1,Vasco da Gama,42,9252.0,Wéverton,4-2-3-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,
2017-11-26,17:00,Série A,Matchweek 37,Sun,Away,L,0,1,Avaí,63,13394.0,Wéverton,4-2-3-1,4-2-4-0,Wilton Sampaio,Match Report,
2017-12-03,17:00,Série A,Matchweek 38,Sun,Home,W,3,0,Palmeiras,35,12879.0,Thiago Heleno,4-2-3-1,4-3-3,Claudio Francisco Lima e Silva,Match Report,
