Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
12,Internacional,38,12,12,14,44,42,2,48,1.26,50.6,54.5,-3.9,-0.1,6623,Yuri Alberto - 12,Daniel,
13,São Paulo,38,11,15,12,31,39,-8,48,1.26,45.5,41.6,3.9,0.1,11890,Jonathan Calleri - 5,Tiago Volpi,
14,Ath Paranaense,38,13,8,17,41,45,-4,47,1.24,41.8,45.5,-3.7,-0.1,3362,"David Terans, Renato Kayser - 6",Santos,
15,Cuiabá,38,10,17,11,34,37,-3,47,1.24,36.6,45.5,-8.9,-0.23,4164,Élton Rodrigues Brandão - 9,Walter,
16,Juventude,38,11,13,14,36,44,-8,46,1.21,37.5,42.4,-4.9,-0.13,2768,"Ricardo Bueno, Matheus Peixoto - 7",Marcelo Carné,
