Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
6,Ath Paranaense,38,17,6,15,38,32,6,57,1.5,14926,Pablo - 9,Wéverton,→ Copa Libertadores via league finish
7,Corinthians,38,15,10,13,48,42,6,55,1.45,28820,"Guilherme, Marlone - 6",Cássio,→ Copa Sudamericana via league finish
8,Grêmio,38,14,11,13,41,44,-3,53,1.39,20448,Luan Vieira - 6,Marcelo Grohe,→ Copa Libertadores via cup win 1
9,Ponte Preta,38,15,8,15,48,52,-4,53,1.39,5702,William Pottker - 14,Aranha,→ Copa Sudamericana via league finish
10,São Paulo,38,14,10,14,44,36,8,52,1.37,22553,Andrés Chávez - 9,Denis,→ Copa Sudamericana via league finish
