Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
15,Cuiabá,19,7,6,6,18,20,-2,27,1.42,23.7,19.5,4.2,0.22,19,3,11,5,16,17,-1,20,1.05,12.9,25.9,-13.0,-0.69
16,Juventude,19,9,6,4,19,15,4,33,1.74,20.9,16.9,3.9,0.21,19,2,7,10,17,29,-12,13,0.68,16.6,25.4,-8.8,-0.46
17,Grêmio,19,8,6,5,29,21,8,30,1.58,31.3,17.9,13.4,0.7,19,4,1,14,15,30,-15,13,0.68,19.3,25.3,-6.0,-0.32
18,Bahia,19,8,5,6,27,22,5,29,1.53,27.3,20.4,6.8,0.36,19,3,5,11,15,29,-14,14,0.74,18.3,25.8,-7.5,-0.39
19,Sport Recife,19,5,7,7,13,13,0,22,1.16,23.3,21.8,1.6,0.08,19,4,4,11,11,24,-13,16,0.84,16.5,28.9,-12.4,-0.65
