Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Pepê,br BRA,"DF,FW",19.0,3,125.0,42.0,3.7,1.4,1,92.0,1.0,2,17.0,5,0.0,4.0,6.0,-2.0,-1.44,-2.01,Matches
Matheus Batista,br BRA,FW,21.0,3,111.0,37.0,3.2,1.2,1,67.0,0.0,2,22.0,4,0.0,1.0,3.0,-2.0,-1.62,-2.19,Matches
Lucas Poletto,br BRA,FW,21.0,3,107.0,36.0,3.1,1.2,1,53.0,0.0,2,27.0,0,0.33,3.0,3.0,0.0,0.0,-0.52,Matches
Nicolas Careca,br BRA,FW,19.0,2,95.0,48.0,2.8,1.1,1,66.0,0.0,1,29.0,1,0.0,2.0,3.0,-1.0,-0.95,-1.49,Matches
Felipe Albuquerque,br BRA,DF,17.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,0.0,3.0,4.0,-1.0,-1.0,-1.54,Matches
Balbino,br BRA,FW,20.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,2,0.0,3.0,4.0,-1.0,-1.0,-1.54,Matches
Emanuel,br BRA,DF,17.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,0.0,3.0,4.0,-1.0,-1.0,-1.54,Matches
Bruno Grassi,br BRA,GK,29.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,21,0.0,3.0,4.0,-1.0,-1.0,-1.54,Matches
Miller Bolaños,ec ECU,"FW,MF",26.0,2,84.0,42.0,2.5,0.9,1,61.0,0.0,1,23.0,1,0.0,0.0,2.0,-2.0,-2.14,-2.71,Matches
Ruan,br BRA,DF,17.0,1,73.0,73.0,2.1,0.8,1,73.0,0.0,0,,0,0.0,3.0,3.0,0.0,0.0,-0.51,Matches
