Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Arthur Melo,br BRA,MF,20.0,27,27,2179.0,24.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Ramiro Benetti,br BRA,"DF,MF",23.0,26,26,2225.0,24.7,6.0,4.0,10.0,6.0,0.0,0.0,4.0,0.0,0.24,0.16,0.4,0.24,0.4,Matches
Bruno Cortez,br BRA,DF,29.0,24,23,2089.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Marcelo Grohe,br BRA,GK,30.0,23,23,2054.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Walter Kannemann,ar ARG,DF,25.0,23,23,2041.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Michel,br BRA,"DF,MF",26.0,23,22,1988.0,22.1,5.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches
Fernandinho,br BRA,"FW,MF",31.0,28,21,2000.0,22.2,9.0,2.0,11.0,7.0,2.0,2.0,3.0,0.0,0.41,0.09,0.5,0.32,0.41,Matches
Pedro Geromel,br BRA,DF,31.0,20,20,1800.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Luan Vieira,br BRA,"FW,MF",23.0,20,20,1770.0,19.7,6.0,6.0,12.0,6.0,0.0,1.0,2.0,0.0,0.31,0.31,0.61,0.31,0.61,Matches
Edílson Mendes,br BRA,DF,30.0,21,19,1697.0,18.9,2.0,1.0,3.0,2.0,0.0,1.0,6.0,1.0,0.11,0.05,0.16,0.11,0.16,Matches
Lucas Barrios,py PAR,FW,32.0,17,16,1242.0,13.8,4.0,1.0,5.0,2.0,2.0,2.0,4.0,0.0,0.29,0.07,0.36,0.14,0.22,Matches
Pedro Rocha Neves,br BRA,"FW,MF",22.0,15,15,1158.0,12.9,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.23,0.16,0.39,0.23,0.39,Matches
Everton Soares,br BRA,"FW,MF",20.0,32,14,1582.0,17.6,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.46,0.23,0.68,0.46,0.68,Matches
Bressan,br BRA,DF,24.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Moura,br BRA,"DF,MF",38.0,16,13,1142.0,12.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Rafael Thyere,br BRA,DF,23.0,15,12,1114.0,12.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Jailson Siqueira,br BRA,"DF,MF",21.0,18,10,998.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Paulo Victor Vidotti,br BRA,GK,30.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcelo Oliveira,br BRA,"DF,MF",29.0,12,10,869.0,9.7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kaio Mendes,br BRA,MF,21.0,8,8,700.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Leonardo Gomes,br BRA,DF,20.0,9,8,675.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Jael Ferreira,br BRA,FW,28.0,12,8,657.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Bruno Rodrigo,br BRA,DF,31.0,7,7,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon Souza,br BRA,MF,31.0,11,6,529.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Baroni,br BRA,MF,33.0,5,5,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick,br BRA,MF,18.0,13,4,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Conrado,br BRA,"DF,MF",19.0,5,4,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Jardim,br BRA,GK,21.0,5,4,374.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Machado,br BRA,MF,21.0,5,4,371.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Arroyo,ec ECU,"FW,MF",29.0,7,4,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lincoln,br BRA,MF,18.0,8,3,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches
Dionathã da Silva,br BRA,FW,19.0,7,3,313.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches
Jean Pyerre,br BRA,MF,18.0,6,2,225.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.4,0.8,Matches
Beto da Silva,pe PER,"FW,MF",20.0,12,1,289.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.31,0.62,0.93,0.31,0.93,Matches
Pepê,br BRA,"DF,FW",19.0,3,1,125.0,1.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.72,0.72,1.44,0.72,1.44,Matches
Matheus Batista,br BRA,FW,21.0,3,1,111.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81,Matches
Lucas Poletto,br BRA,FW,21.0,3,1,107.0,1.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.84,0.84,1.68,0.84,1.68,Matches
Nicolas Careca,br BRA,FW,19.0,2,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe Albuquerque,br BRA,DF,17.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Balbino,br BRA,FW,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emanuel,br BRA,DF,17.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Grassi,br BRA,GK,29.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miller Bolaños,ec ECU,"FW,MF",26.0,2,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ruan,br BRA,DF,17.0,1,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gastón Fernández,ar ARG,"FW,MF",33.0,4,0,37.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,2.43,0.0,2.43,Matches
Lima,br BRA,"FW,MF",20.0,2,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ericson,br BRA,DF,17.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Henrique,br BRA,MF,19.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vico,br BRA,MF,18.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
