Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Maicosuel,br BRA,MF,31.0,3,136.0,45.0,4.0,1.5,2,65.0,0.0,1,6.0,7,0.67,1.0,1.0,0.0,0.0,-0.58,Matches
Bruno Grassi,br BRA,GK,30.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,17,3.0,1.0,0.0,1.0,1.0,0.46,Matches
Guilherme Guedes,br BRA,DF,18.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,1.0,1.0,1.0,0.0,0.0,-0.57,Matches
Hernane,br BRA,FW,31.0,1,59.0,59.0,1.7,0.7,1,59.0,0.0,0,,8,1.0,1.0,0.0,1.0,1.53,0.99,Matches
Derlan,br BRA,DF,21.0,1,14.0,14.0,0.4,0.2,0,,0.0,1,13.0,0,1.0,0.0,0.0,0.0,0.0,-0.55,Matches
Vico,br BRA,MF,19.0,1,13.0,13.0,0.4,0.1,0,,0.0,1,12.0,13,1.0,0.0,0.0,0.0,0.0,-0.55,Matches
Lincoln,br BRA,MF,19.0,1,7.0,7.0,0.2,0.1,0,,0.0,1,6.0,4,0.0,0.0,0.0,0.0,0.0,-0.55,Matches
Felipe Albuquerque,br BRA,DF,18.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Brenno,br BRA,GK,18.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Denilson,br BRA,DF,22.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Luís Henrique,br BRA,FW,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Isaque,br BRA,MF,20.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Léo Jardim,br BRA,GK,22.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Lucas Poletto,br BRA,FW,22.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Rodrigues,br BRA,DF,20.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Squad Total,,,27.5,38,3420.0,90.0,100.0,38.0,418,84.0,,112,21.0,315,1.74,48.0,27.0,21.0,0.55,,
Opponent Total,,,26.9,38,3420.0,90.0,100.0,38.0,418,84.0,,112,22.0,316,0.95,27.0,48.0,-21.0,-0.55,,
