Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Marcelo Grohe,br BRA,GK,28.0,23,23,1963,21.8,,,0,0.0,,12,6,5,11,47.8,0,0,0,0,,Matches
Tiago Machowski,br BRA,GK,21.0,13,11,1039,11.6,,,0,0.0,,6,2,3,3,27.3,2,2,0,0,0.0,Matches
Bruno Grassi,br BRA,GK,27.0,5,4,418,4.7,,,0,0.0,,2,0,2,2,50.0,2,2,0,0,0.0,Matches
Squad Total,,,25.4,38,38,3420,38.0,0.0,0.0,0,0.0,,20,8,10,15,39.5,4,4,0,0,0.0,
Opponent Total,,,26.3,38,38,3420,38.0,,,0,,,10,8,20,11,28.9,5,3,0,2,0.0,
