Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Ricardinho,br BRA,"FW,MF",19.0,12,436.0,36.0,12.7,4.8,2,82.0,1.0,10,27.0,3,0.58,3.0,6.0,-3.0,-0.62,-0.5,5.4,5.3,0.1,0.02,-0.2,Matches
Mateus Sarará,br BRA,MF,18.0,10,283.0,28.0,8.3,3.1,2,59.0,0.0,8,21.0,13,1.3,3.0,5.0,-2.0,-0.64,-0.49,5.5,5.3,0.3,0.08,-0.12,Matches
Luiz Fernando,br BRA,"FW,MF",24.0,9,241.0,27.0,7.0,2.7,2,62.0,0.0,7,17.0,3,1.0,2.0,4.0,-2.0,-0.75,-0.61,2.5,2.8,-0.3,-0.11,-0.33,Matches
Guilherme Guedes,br BRA,"DF,MF",21.0,4,211.0,53.0,6.2,2.3,2,76.0,0.0,2,30.0,9,0.25,2.0,4.0,-2.0,-0.85,-0.71,2.6,4.4,-1.8,-0.75,-1.0,Matches
Elias Manoel,br BRA,FW,19.0,5,145.0,29.0,4.2,1.6,2,45.0,0.0,3,18.0,3,1.2,0.0,4.0,-4.0,-2.48,-2.4,3.1,2.6,0.5,0.32,0.13,Matches
Léo Chú,br BRA,"FW,DF",20.0,4,112.0,28.0,3.3,1.2,1,89.0,0.0,3,8.0,3,0.0,2.0,2.0,0.0,0.0,0.19,1.4,1.4,0.0,0.03,-0.17,Matches
Paulo Victor Vidotti,br BRA,GK,34.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,2,0.0,0.0,1.0,-1.0,-1.0,-0.84,0.6,1.1,-0.4,-0.44,-0.65,Matches
Maicon Souza,br BRA,MF,35.0,4,88.0,22.0,2.6,1.0,1,28.0,0.0,3,20.0,2,1.5,1.0,1.0,0.0,0.0,0.19,1.6,0.5,1.1,1.1,0.93,Matches
Diego Churín,ar ARG,FW,31.0,6,121.0,20.0,3.5,1.3,0,,0.0,6,20.0,8,1.17,2.0,3.0,-1.0,-0.74,-0.58,1.8,1.6,0.2,0.14,-0.05,Matches
Éverton,br BRA,FW,32.0,4,49.0,12.0,1.4,0.5,0,,0.0,4,12.0,2,0.75,1.0,1.0,0.0,0.0,0.19,0.5,0.7,-0.3,-0.52,-0.72,Matches
César Pinares,cl CHI,FW,29.0,2,21.0,11.0,0.6,0.2,0,,0.0,2,11.0,3,1.5,1.0,0.0,1.0,4.29,4.5,0.8,0.3,0.5,2.18,1.99,Matches
Gui Azevedo,br BRA,FW,19.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,2,0.0,0.0,1.0,-1.0,-90.0,-89.84,0.0,0.1,-0.1,-10.69,-10.89,Matches
Adriel,br BRA,GK,20.0,0,,,,,0,,,0,,13,,,,,,,,,,,,Matches
Victor Ferraz,br BRA,"DF,MF",33.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Leonardo Gomes,br BRA,DF,24.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Pedro Lucas,br BRA,MF,18.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Felipe Scheibig,br BRA,GK,20.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.9,38,3420.0,90.0,100.0,38.0,418,81.0,242.0,172,21.0,282,1.13,44.0,51.0,-7.0,-0.18,,50.5,43.2,7.3,0.19,,
Opponent Total,,,26.8,38,3420.0,90.0,100.0,38.0,418,81.0,242.0,175,20.0,267,1.68,51.0,44.0,7.0,0.18,,43.2,50.5,-7.3,-0.19,,
