Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gabriel Chapecó,br BRA,GK,22.0,31.0,51,4,0,8,1,50.8,0.31,0.8,0.02,143,412,34.7,514,121,45.5,38.4,315,56.5,41.6,502,31,6.2,21,0.68,11.2,Matches
Caíque,br BRA,GK,25.0,4.0,3,1,0,0,0,6.1,0.3,3.1,0.78,17,51,33.3,62,22,56.5,43.4,33,48.5,37.8,85,8,9.4,1,0.25,8.2,Matches
Adriel,br BRA,GK,22.0,2.0,1,0,0,0,0,1.8,0.23,0.8,0.4,13,48,27.1,34,5,61.8,44.2,29,93.1,63.5,50,2,4.0,2,1.0,18.0,Matches
Brenno,br BRA,GK,23.0,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.15,2,4,50.0,16,6,12.5,21.8,3,66.7,38.0,7,0,0.0,0,0.0,13.5,Matches
Squad Total,,,27.9,38.0,56,5,0,9,1,59.5,0.3,4.5,0.12,175,515,34.0,624,154,46.6,,382,58.6,42.9,644,41,6.4,24,0.63,,
Opponent Total,,,27.6,38.0,63,5,1,5,2,58.9,0.29,-2.1,-0.06,201,459,43.8,776,149,43.2,37.2,294,42.2,34.6,452,22,4.9,32,0.84,13.3,
