Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rafinha,br BRA,DF,35.0,25.3,0,5,2,40.0,0.2,0.08,0.0,0.0,24.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Thiago dos Santos,br BRA,MF,31.0,23.5,4,16,5,31.3,0.68,0.21,0.25,0.8,17.1,0,0,0,2.4,2.4,0.15,1.6,1.6,Matches
Pedro Geromel,br BRA,DF,35.0,24.0,0,10,2,20.0,0.42,0.08,0.0,0.0,14.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Ferreira,br BRA,"FW,MF",23.0,23.7,3,81,26,32.1,3.42,1.1,0.04,0.12,20.1,1,0,0,5.2,5.2,0.06,-2.2,-2.2,Matches
Gabriel Chapecó,br BRA,GK,20.0,23.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diego Souza,br BRA,FW,35.0,19.6,10,48,24,50.0,2.45,1.22,0.21,0.42,15.8,8,0,2,7.1,5.6,0.12,2.9,4.4,Matches
Vanderson,br BRA,DF,19.0,21.9,3,22,7,31.8,1.01,0.32,0.14,0.43,27.2,5,0,0,1.2,1.2,0.05,1.8,1.8,Matches
Alisson,br BRA,"FW,MF",27.0,20.8,3,56,19,33.9,2.69,0.91,0.05,0.16,20.5,0,0,0,4.2,4.2,0.07,-1.2,-1.2,Matches
Walter Kannemann,ar ARG,DF,29.0,19.9,0,7,1,14.3,0.35,0.05,0.0,0.0,12.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Douglas Costa,br BRA,"FW,MF",30.0,20.1,3,43,15,34.9,2.14,0.75,0.07,0.2,23.4,4,0,0,3.2,3.2,0.07,-0.2,-0.2,Matches
Lucas Silva,br BRA,MF,27.0,19.0,2,21,9,42.9,1.11,0.47,0.1,0.22,29.5,2,0,0,0.9,0.9,0.04,1.1,1.1,Matches
Ruan,br BRA,DF,21.0,19.8,0,6,1,16.7,0.3,0.05,0.0,0.0,9.8,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
Bruno Cortez,br BRA,DF,33.0,16.1,0,3,1,33.3,0.19,0.06,0.0,0.0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Brenno,br BRA,GK,21.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mathías Villasanti,py PAR,MF,24.0,11.2,1,12,3,25.0,1.07,0.27,0.08,0.33,22.6,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Miguel Borja,co COL,FW,28.0,11.7,5,46,12,26.1,3.95,1.03,0.07,0.25,16.3,1,2,4,10.2,7.1,0.15,-5.2,-4.1,Matches
Rodrigues,br BRA,DF,23.0,11.1,0,4,1,25.0,0.36,0.09,0.0,0.0,17.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Diogo Barbosa,br BRA,DF,28.0,10.1,1,3,1,33.3,0.3,0.1,0.33,1.0,22.0,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Jean Pyerre,br BRA,"MF,FW",22.0,10.9,0,24,7,29.2,2.2,0.64,0.0,0.0,25.9,2,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches
Jaminton Campaz,co COL,MF,20.0,10.1,2,41,11,26.8,4.07,1.09,0.05,0.18,22.5,1,0,0,2.9,2.9,0.07,-0.9,-0.9,Matches
