Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nathan Fernandes,br BRA,"FW,MF",17.0,4.2,84,113,74.3,1130,263,53,66,80.3,25,34,73.5,3,4,75.0,1,0.2,0.2,0.8,6,4,4,0,9,Matches
Adriel,br BRA,GK,22.0,2.0,28,63,44.4,1101,947,3,3,100.0,10,10,100.0,15,50,30.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Andre Martins,br BRA,"FW,MF",21.0,4.1,107,140,76.4,1332,264,60,77,77.9,36,41,87.8,1,2,50.0,0,0.7,0.3,-0.7,5,4,2,0,16,Matches
Zinho,br BRA,"FW,MF",19.0,2.7,42,61,68.9,503,163,29,36,80.6,10,13,76.9,1,4,25.0,1,0.5,0.3,0.5,2,4,3,0,7,Matches
Josué,br BRA,MF,17.0,1.3,36,52,69.2,543,160,19,25,76.0,16,20,80.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Brenno,br BRA,GK,23.0,1.0,17,19,89.5,356,200,6,6,100.0,8,8,100.0,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Wesley,br BRA,DF,19.0,1.0,21,39,53.8,267,136,16,19,84.2,5,14,35.7,0,4,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Juan Iturbe,py PAR,"FW,MF",29.0,0.8,19,28,67.9,261,112,12,14,85.7,5,9,55.6,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Luan Vieira,br BRA,"FW,MF",29.0,0.6,37,46,80.4,547,162,25,27,92.6,8,11,72.7,3,7,42.9,0,0.0,0.1,0.0,0,4,2,0,7,Matches
Darlan Mendes,br BRA,MF,24.0,0.5,16,18,88.9,342,92,4,5,80.0,9,10,90.0,3,3,100.0,0,0.0,0.0,0.0,1,3,0,0,1,Matches
Gustavinho,br BRA,"MF,FW",21.0,0.4,13,21,61.9,197,93,3,6,50.0,7,8,87.5,1,5,20.0,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
Freddy Noguera,py PAR,FW,19.0,0.3,2,3,66.7,31,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nata,br BRA,"FW,DF",21.0,0.2,11,12,91.7,199,95,4,4,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Lian,br BRA,MF,17.0,0.1,2,2,100.0,34,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
João Araújo,br BRA,MF,17.0,0.1,5,5,100.0,60,13,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Squad Total,,,27.9,38.0,13311,17285,77.0,223670,89614,6446,7485,86.1,5149,6241,82.5,1251,2452,51.0,45,36.4,36.4,8.6,389,1135,307,57,1541,
Opponent Total,,,27.6,38.0,15838,19643,80.6,273640,101354,7623,8576,88.9,6251,7374,84.8,1576,2696,58.5,38,40.8,44.1,-2.8,484,1468,354,93,1668,
