Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Jordi Almeida,br BRA,GK,25.0,28.0,43,2,2,6,0,47.6,0.25,4.6,0.16,173,494,35.0,452,75,61.1,44.0,292,74.7,52.6,518,51,9.8,5,0.18,8.4,Matches
João Carlos,br BRA,GK,30.0,10.0,15,0,1,1,3,11.5,0.26,-0.5,-0.05,48,146,32.9,165,52,38.2,34.8,117,70.9,47.6,161,12,7.5,0,0.0,7.5,Matches
Squad Total,,,28.7,38.0,58,2,3,7,3,59.1,0.25,4.1,0.11,221,640,34.5,616,127,54.9,,410,73.7,51.2,679,63,9.3,5,0.13,,
Opponent Total,,,27.2,38.0,24,4,1,6,0,29.7,0.21,5.7,0.15,149,378,39.4,694,146,34.0,33.3,255,55.7,43.0,458,31,6.8,22,0.58,12.7,
