Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Ricardo Riedi,br BRA,GK,35.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.79,53.0,39.0,14.0,0.37,,43.6,49.1,-5.5,-0.15,,Matches
Hércules,br BRA,MF,23.0,32,2317.0,72.0,67.7,25.7,30,76.0,11,2,18.0,3,1.69,39.0,20.0,19.0,0.74,1.15,26.7,31.4,-4.6,-0.18,-0.1,Matches
Emanuel Brítez,ar ARG,DF,31.0,30,2503.0,83.0,73.2,27.8,29,85.0,25,1,45.0,1,1.77,39.0,29.0,10.0,0.36,-0.03,32.2,33.6,-1.4,-0.05,0.35,Matches
Juan Martín Lucero,ar ARG,FW,32.0,32,2246.0,70.0,65.7,25.0,26,82.0,10,6,21.0,1,1.69,38.0,30.0,8.0,0.32,-0.14,27.8,34.8,-7.0,-0.28,-0.4,Matches
Guilherme Tinga,br BRA,DF,30.0,29,2152.0,74.0,62.9,23.9,23,88.0,20,6,23.0,5,1.93,34.0,24.0,10.0,0.42,0.13,29.4,31.1,-1.7,-0.07,0.2,Matches
Titi,br BRA,DF,35.0,23,2020.0,88.0,59.1,22.4,23,88.0,21,0,,12,1.61,30.0,21.0,9.0,0.4,0.08,27.7,29.3,-1.6,-0.07,0.18,Matches
Breno,br BRA,"FW,MF",28.0,32,1897.0,59.0,55.5,21.1,22,75.0,3,10,25.0,1,1.75,24.0,25.0,-1.0,-0.05,-0.93,21.5,25.2,-3.7,-0.17,-0.06,Matches
Benjamín Kuscevic,cl CHI,DF,27.0,22,1858.0,84.0,54.3,20.6,21,88.0,20,1,4.0,3,2.0,30.0,21.0,9.0,0.44,0.15,21.6,26.3,-4.7,-0.23,-0.18,Matches
Tomas Pochettino,ar ARG,"MF,FW",27.0,32,1648.0,52.0,48.2,18.3,19,73.0,2,13,20.0,3,1.75,25.0,18.0,7.0,0.38,0.03,21.4,23.1,-1.6,-0.09,0.11,Matches
Matheus Rossetto,br BRA,MF,27.0,22,1548.0,70.0,45.3,17.2,19,77.0,5,3,31.0,6,1.86,30.0,15.0,15.0,0.87,0.92,19.7,19.4,0.3,0.02,0.3,Matches
Yago Pikachu,br BRA,"FW,MF",31.0,32,1633.0,51.0,47.7,18.1,18,79.0,5,14,16.0,3,1.82,26.0,22.0,4.0,0.22,-0.28,21.5,26.7,-5.2,-0.28,-0.27,Matches
Felipe Jonatan,br BRA,DF,25.0,22,1510.0,69.0,44.2,16.8,17,85.0,11,5,13.0,14,1.73,20.0,16.0,4.0,0.24,-0.23,21.8,21.5,0.3,0.02,0.29,Matches
