Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Dodô,br BRA,"MF,FW",24.0,5,158.0,32.0,4.6,1.8,1,94.0,1.0,4,16.0,4,0.8,3.0,2.0,1.0,0.57,0.57,2.8,1.1,1.6,0.92,1.3,Matches
Matheus de Vargas,br BRA,MF,22.0,2,91.0,46.0,2.7,1.0,1,73.0,0.0,1,18.0,3,0.5,1.0,3.0,-2.0,-1.98,-2.06,1.2,2.2,-1.0,-1.01,-0.71,Matches
Matheus Alessandro,br BRA,"FW,MF",22.0,8,137.0,17.0,4.0,1.5,0,,0.0,8,16.0,16,1.63,2.0,0.0,2.0,1.31,1.34,4.5,1.9,2.6,1.75,2.15,Matches
Derley,br BRA,"MF,DF",32.0,4,64.0,16.0,1.9,0.7,0,,0.0,4,15.0,33,2.25,1.0,0.0,1.0,1.41,1.41,2.6,0.4,2.2,3.07,3.46,Matches
Adalberto,br BRA,DF,31.0,1,46.0,46.0,1.3,0.5,0,,0.0,1,45.0,13,0.0,0.0,1.0,-1.0,-1.96,-2.01,0.6,1.3,-0.8,-1.5,-1.2,Matches
Diguinho,br BRA,DF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
Patrick Marcelino,br BRA,DF,24.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,,Matches
Santiago Romero,uy URU,MF,28.0,0,,,,,0,,0.0,0,,5,,,,,,,,,,,,Matches
Tião,br BRA,MF,18.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
Max Walef,br BRA,GK,25.0,0,,,,,0,,0.0,0,,19,,,,,,,,,,,,Matches
Squad Total,,,28.1,38,3420.0,90.0,100.0,38.0,418,84.0,,113,23.0,330,1.39,50.0,49.0,1.0,0.03,,50.0,62.1,-12.0,-0.32,,
Opponent Total,,,27.3,38,3420.0,90.0,100.0,38.0,418,84.0,,112,23.0,313,1.39,49.0,50.0,-1.0,-0.03,,62.1,50.0,12.0,0.32,,
