Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Juninho Capixaba,br BRA,DF,24.0,32.3,1254,1774,70.7,21464,9316,578,694,83.3,538,707,76.1,106,264,40.2,4,3.7,4.1,0.3,44,121,30,15,169,Matches
Titi,br BRA,DF,33.0,31.1,908,1130,80.4,17836,7829,306,339,90.3,484,537,90.1,104,218,47.7,0,0.1,0.2,-0.1,2,81,5,0,91,Matches
Marcelo,br BRA,DF,26.0,29.0,770,963,80.0,15588,6382,211,253,83.4,434,499,87.0,108,167,64.7,1,0.8,0.5,0.2,5,35,3,0,60,Matches
Moises,br BRA,"FW,MF",25.0,25.0,421,584,72.1,6713,1592,229,290,79.0,137,170,80.6,40,71,56.3,3,2.4,1.9,0.6,31,36,21,3,66,Matches
Emanuel Brítez,ar ARG,DF,29.0,20.0,476,682,69.8,9058,4068,188,223,84.3,218,305,71.5,62,128,48.4,3,1.2,0.8,1.8,11,37,3,1,39,Matches
Fernando Miguel,br BRA,GK,36.0,20.0,318,488,65.2,9975,7908,59,59,100.0,132,133,99.2,123,288,42.7,0,0.0,0.0,0.0,1,11,0,0,0,Matches
José Welison,br BRA,MF,26.0,19.1,728,886,82.2,14751,4029,267,319,83.7,319,355,89.9,126,164,76.8,0,0.9,1.6,-0.9,13,103,11,4,90,Matches
Romarinho,br BRA,"FW,MF",27.0,14.6,359,464,77.4,5523,1142,207,243,85.2,123,155,79.4,21,33,63.6,4,1.4,1.1,2.6,21,31,12,4,36,Matches
Robson,br BRA,"FW,MF",30.0,16.1,221,347,63.7,3487,935,136,183,74.3,50,81,61.7,27,44,61.4,4,2.7,0.9,1.3,23,26,14,2,38,Matches
Thiago Galhardo,br BRA,"FW,MF",32.0,15.0,216,352,61.4,3297,1029,111,162,68.5,73,111,65.8,18,33,54.5,1,1.4,0.9,-0.4,15,29,7,0,41,Matches
Lucas Sasha,br BRA,MF,31.0,14.1,405,507,79.9,6499,2002,208,252,82.5,164,188,87.2,24,42,57.1,0,0.2,0.2,-0.2,4,58,0,0,53,Matches
Guilherme Tinga,br BRA,DF,28.0,13.1,455,708,64.3,9145,3867,167,218,76.6,205,290,70.7,78,159,49.1,2,1.0,1.3,1.0,12,49,11,3,51,Matches
Lucas Crispim,br BRA,"DF,MF",27.0,13.0,456,612,74.5,7861,2764,230,257,89.5,155,208,74.5,56,119,47.1,1,1.3,2.0,-0.3,23,41,11,4,57,Matches
Yago Pikachu,br BRA,"DF,MF",29.0,13.4,378,510,74.1,6600,2288,182,206,88.3,141,177,79.7,45,86,52.3,0,1.5,1.3,-1.5,20,38,16,3,53,Matches
Marcelo Boeck,br BRA,GK,37.0,13.0,205,301,68.1,6212,4828,41,41,100.0,74,74,100.0,89,183,48.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
