Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Fagner,br BRA,DF,26.0,33,33,2967.0,33.0,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.03,0.12,0.15,0.03,0.15,Matches
Uendel,br BRA,DF,27.0,33,33,2816.0,31.3,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches
Marquinhos Gabriel,br BRA,"FW,MF",25.0,34,32,2645.0,29.4,5.0,3.0,8.0,4.0,1.0,2.0,3.0,0.0,0.17,0.1,0.27,0.14,0.24,Matches
Fabián Balbuena,py PAR,DF,24.0,29,29,2537.0,28.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Giovanni Augusto,br BRA,MF,26.0,32,27,2233.0,24.8,3.0,4.0,7.0,2.0,1.0,1.0,5.0,1.0,0.12,0.16,0.28,0.08,0.24,Matches
Rodriguinho Marinho,br BRA,"FW,MF",27.0,29,26,2278.0,25.3,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,0.16,0.16,0.32,0.16,0.32,Matches
Ángel Romero,py PAR,"FW,MF",23.0,27,23,1976.0,22.0,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,0.23,0.27,0.5,0.23,0.5,Matches
Bruno Henrique,br BRA,MF,26.0,21,21,1853.0,20.6,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Cássio,br BRA,GK,28.0,21,19,1785.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Walter,br BRA,GK,28.0,19,19,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
