Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
5,Internacional,38,18,11,9,53,36,17,65,1.71,58.4,33.5,25.0,0.66,29012,Wesley - 11,Sergio Rochet,
6,São Paulo,38,17,8,13,53,43,10,59,1.55,40.3,35.4,5.0,0.13,38676,Luciano - 11,Rafael Pires,
7,Corinthians,38,15,11,12,54,45,9,56,1.47,49.1,43.1,6.0,0.16,43801,Yuri Alberto - 15,Hugo Souza,
8,Bahia,38,15,8,15,49,49,0,53,1.39,51.3,43.2,8.2,0.21,36381,Everaldo Stum - 8,Marcos Felipe,
9,Cruzeiro,38,14,10,14,43,41,2,52,1.37,40.0,45.4,-5.4,-0.14,33066,Matheus Pereira - 8,Cássio,
