Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Fagner,br BRA,DF,26.0,33,2967.0,90.0,86.8,33.0,33,90.0,32.0,0,,0,1.42,40.0,36.0,4.0,0.12,-0.28,Matches
Uendel,br BRA,DF,27.0,33,2816.0,85.0,82.3,31.3,33,85.0,29.0,0,,1,1.61,46.0,32.0,14.0,0.45,1.64,Matches
Marquinhos Gabriel,br BRA,"FW,MF",25.0,34,2645.0,78.0,77.3,29.4,32,81.0,18.0,2,27.0,2,1.41,36.0,30.0,6.0,0.2,0.2,Matches
Fabián Balbuena,py PAR,DF,24.0,29,2537.0,87.0,74.2,28.2,29,87.0,28.0,0,,1,1.31,34.0,34.0,0.0,0.0,-0.61,Matches
Giovanni Augusto,br BRA,MF,26.0,32,2233.0,70.0,65.3,24.8,27,78.0,7.0,5,27.0,1,1.5,31.0,25.0,6.0,0.24,0.24,Matches
Rodriguinho Marinho,br BRA,"FW,MF",27.0,29,2278.0,79.0,66.6,25.3,26,84.0,19.0,3,29.0,7,1.45,33.0,32.0,1.0,0.04,-0.35,Matches
Ángel Romero,py PAR,"FW,MF",23.0,27,1976.0,73.0,57.8,22.0,23,81.0,15.0,4,27.0,8,1.26,25.0,26.0,-1.0,-0.05,-0.48,Matches
Bruno Henrique,br BRA,MF,26.0,21,1853.0,88.0,54.2,20.6,21,88.0,17.0,0,,0,1.76,29.0,18.0,11.0,0.53,0.82,Matches
Cássio,br BRA,GK,28.0,21,1785.0,85.0,52.2,19.8,19,88.0,18.0,2,60.0,12,1.38,24.0,26.0,-2.0,-0.1,-0.54,Matches
Walter,br BRA,GK,28.0,19,1590.0,84.0,46.5,17.7,19,84.0,17.0,0,,14,1.42,22.0,16.0,6.0,0.34,0.34,Matches
Guilherme,br BRA,"FW,MF",27.0,26,1481.0,57.0,43.3,16.5,16,78.0,7.0,10,24.0,3,1.58,28.0,22.0,6.0,0.36,0.36,Matches
Marlone,br BRA,MF,23.0,24,1395.0,58.0,40.8,15.5,15,82.0,9.0,9,19.0,13,1.29,17.0,19.0,-2.0,-0.13,-0.48,Matches
Vilson,br BRA,"DF,MF",27.0,14,1260.0,90.0,36.8,14.0,14,90.0,14.0,0,,8,1.36,18.0,17.0,1.0,0.07,-0.14,Matches
Yago,br BRA,DF,23.0,15,1235.0,82.0,36.1,13.7,14,84.0,12.0,1,64.0,2,1.07,11.0,15.0,-4.0,-0.29,-0.7,Matches
Guilherme Camacho,br BRA,MF,25.0,17,1141.0,67.0,33.4,12.7,13,83.0,9.0,4,16.0,10,1.06,13.0,13.0,0.0,0.0,-0.24,Matches
Cristian Baroni,br BRA,MF,32.0,14,938.0,67.0,27.4,10.4,12,77.0,6.0,2,9.0,16,1.86,11.0,10.0,1.0,0.1,-0.09,Matches
Pedro Henrique,br BRA,DF,20.0,13,1041.0,80.0,30.4,11.6,11,83.0,9.0,2,64.0,10,2.08,20.0,11.0,9.0,0.78,0.89,Matches
Luciano,br BRA,"FW,MF",22.0,15,853.0,57.0,24.9,9.5,10,79.0,4.0,5,12.0,5,1.87,12.0,5.0,7.0,0.74,0.77,Matches
Elías,br BRA,MF,30.0,10,697.0,70.0,20.4,7.7,8,79.0,5.0,2,31.0,0,1.0,7.0,9.0,-2.0,-0.26,-0.52,Matches
Lucca,br BRA,"FW,MF",25.0,21,853.0,41.0,24.9,9.5,7,80.0,3.0,14,21.0,15,1.29,15.0,9.0,6.0,0.63,0.63,Matches
Felipe,br BRA,DF,26.0,7,630.0,90.0,18.4,7.0,7,90.0,7.0,0,,0,1.86,10.0,5.0,5.0,0.71,0.68,Matches
