Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
11,São Paulo,19,13,3,3,29,13,16,42,2.21,30.1,14.1,16.0,0.84,19,1,8,10,11,25,-14,11,0.58,19.4,22.6,-3.2,-0.17
12,Cuiabá,19,6,6,7,23,22,1,24,1.26,22.7,20.1,2.7,0.14,19,8,3,8,17,17,0,27,1.42,16.0,22.1,-6.0,-0.32
13,Corinthians,19,6,10,3,26,23,3,28,1.47,24.5,20.4,4.1,0.21,19,6,4,9,21,25,-4,22,1.16,16.0,29.2,-13.2,-0.7
14,Cruzeiro,19,4,8,7,14,17,-3,20,1.05,27.0,18.2,8.9,0.47,19,7,6,6,21,15,6,27,1.42,21.8,24.0,-2.1,-0.11
15,Vasco da Gama,19,9,2,8,24,23,1,29,1.53,29.5,19.9,9.5,0.5,19,3,7,9,17,28,-11,16,0.84,18.1,26.3,-8.2,-0.43
