Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Cássio,br BRA,GK,33.0,37,37,3330,37.0,36,0.97,158,122,79.1,14,12,11,11,29.7,3,3,0,0,0.0,Matches
Matheus Donelli,br BRA,GK,18.0,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,28.3,38,38,3420,38.0,36,0.95,160,124,79.4,15,12,11,12,31.6,3,3,0,0,0.0,
Opponent Total,,,26.8,38,38,3420,38.0,40,1.05,145,105,75.9,11,12,15,10,26.3,6,5,1,0,16.7,
