Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
5,Botafogo (RJ),19,10,5,4,27,17,10,35,1.84,19,7,3,9,16,22,-6,24,1.26
6,Ath Paranaense,19,15,3,1,27,6,21,48,2.53,19,2,3,14,11,26,-15,9,0.47
7,Corinthians,19,10,7,2,27,11,16,37,1.95,19,5,3,11,21,31,-10,18,0.95
8,Grêmio,19,11,4,4,22,11,11,37,1.95,19,3,7,9,19,33,-14,16,0.84
9,Ponte Preta,19,13,2,4,33,18,15,41,2.16,19,2,6,11,15,34,-19,12,0.63
