Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Claudinho,br BRA,"MF,FW",23.0,31.5,18,100,34,34.0,3.17,1.08,0.14,0.41,24.6,14,4,5,10.0,6.1,0.06,8.0,7.9,Matches
Artur,br BRA,"FW,MF",21.0,31.0,1,72,23,31.9,2.33,0.74,0.01,0.04,20.3,3,0,1,5.3,4.5,0.06,-4.3,-3.5,Matches
Leo Ortiz,br BRA,DF,24.0,32.2,3,19,5,26.3,0.59,0.16,0.16,0.6,7.8,0,0,0,3.0,3.0,0.17,0.0,0.0,Matches
Cleiton Schwengber,br BRA,GK,22.0,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aderlan Silva,br BRA,DF,29.0,31.6,0,28,5,17.9,0.89,0.16,0.0,0.0,23.8,2,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Raul,br BRA,MF,23.0,29.5,2,18,6,33.3,0.61,0.2,0.11,0.33,24.3,0,0,0,1.7,1.7,0.09,0.3,0.3,Matches
Ligger,br BRA,DF,31.0,26.9,0,12,2,16.7,0.45,0.07,0.0,0.0,11.5,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
Edimar Fraga,br BRA,DF,33.0,25.4,1,30,7,23.3,1.18,0.28,0.03,0.14,22.9,4,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Ytalo,br BRA,FW,32.0,22.1,5,58,23,39.7,2.63,1.04,0.09,0.22,17.4,0,0,0,6.8,6.8,0.12,-1.8,-1.8,Matches
Ricardo,br BRA,MF,25.0,21.6,2,26,8,30.8,1.2,0.37,0.08,0.25,25.1,0,0,0,1.7,1.7,0.06,0.3,0.3,Matches
Bruno Tubarão,br BRA,"FW,MF",24.0,12.9,1,33,7,21.2,2.56,0.54,0.03,0.14,18.6,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
Fabrício Bruno,br BRA,DF,23.0,12.5,1,8,1,12.5,0.64,0.08,0.13,1.0,13.1,0,0,0,0.7,0.7,0.08,0.3,0.3,Matches
Lucas Evangelista,br BRA,MF,24.0,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.4,1,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
Alerrandro,br BRA,FW,20.0,10.3,5,23,10,43.5,2.24,0.97,0.22,0.5,17.5,0,0,1,5.6,4.8,0.21,-0.6,0.2,Matches
Helinho,br BRA,"FW,MF",19.0,7.6,3,13,8,61.5,1.72,1.06,0.23,0.38,20.9,1,0,0,1.2,1.2,0.09,1.8,1.8,Matches
Tomás Cuello,ar ARG,"FW,MF",19.0,8.3,0,21,8,38.1,2.53,0.96,0.0,0.0,20.9,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
Matheus Jesus,br BRA,MF,22.0,7.8,0,16,2,12.5,2.04,0.25,0.0,0.0,26.7,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Morato,br BRA,"FW,MF",27.0,8.5,0,18,5,27.8,2.12,0.59,0.0,0.0,21.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Weverson,br BRA,"DF,MF",19.0,6.8,0,3,1,33.3,0.44,0.15,0.0,0.0,23.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Luan Cândido,br BRA,DF,18.0,6.7,1,13,4,30.8,1.93,0.59,0.08,0.25,25.5,5,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Júlio César,br BRA,GK,35.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
