Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
4,Fortaleza,38,17,7,14,44,45,-1,58,1.53,50.6,48.2,2.3,0.06,9133,Robson - 10,Felipe Alves Raymundo,
5,Corinthians,38,15,12,11,40,36,4,57,1.5,40.2,37.0,3.3,0.09,13772,"Jô, Roger Guedes - 7",Cássio,
6,RB Bragantino,38,14,14,10,55,46,9,56,1.47,47.2,48.5,-1.3,-0.03,1032,"Ytalo, Artur - 12",Cleiton Schwengber,
7,Fluminense,38,15,9,14,38,38,0,54,1.42,44.3,46.4,-2.1,-0.06,5647,Luiz Henrique - 6,Marcos Felipe,
8,América (MG),38,13,14,11,41,37,4,53,1.39,56.1,46.8,9.3,0.24,1223,Ademir Santos - 13,Matheus Cavichioli,
