Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
4,Fortaleza,19,11,4,4,26,19,7,37,1.95,27.5,18.6,8.9,0.47,19,6,3,10,18,26,-8,21,1.11,23.0,29.6,-6.5,-0.34
5,Corinthians,19,10,5,4,26,18,8,35,1.84,24.5,16.7,7.9,0.41,19,5,7,7,14,18,-4,22,1.16,15.7,20.3,-4.6,-0.24
6,RB Bragantino,19,7,9,3,28,20,8,30,1.58,23.8,22.1,1.8,0.09,19,7,5,7,27,26,1,26,1.37,23.4,26.5,-3.1,-0.16
7,Fluminense,19,11,5,3,24,14,10,38,2.0,24.8,16.6,8.2,0.43,19,4,4,11,14,24,-10,16,0.84,19.5,29.8,-10.4,-0.55
8,América (MG),19,9,6,4,22,11,11,33,1.74,32.1,19.7,12.4,0.65,19,4,8,7,19,26,-7,20,1.05,24.0,27.2,-3.1,-0.17
