Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Cleiton Schwengber,br BRA,GK,23.0,34.0,5,0.15,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabrício Bruno,br BRA,DF,24.0,30.8,24,0.78,20,1,0,2,0,1,1,0.03,1,0,0,0,0,0,Matches
Aderlan Silva,br BRA,DF,30.0,28.2,76,2.7,58,5,6,2,4,1,7,0.25,6,0,1,0,0,0,Matches
Artur,br BRA,"FW,MF",22.0,27.7,127,4.54,81,21,9,9,7,0,19,0.68,7,4,3,4,1,0,Matches
Ytalo,br BRA,FW,33.0,25.6,52,2.03,42,0,1,6,3,0,9,0.35,8,0,0,1,0,0,Matches
Helinho,br BRA,"FW,MF",20.0,23.2,81,3.5,62,6,3,3,7,0,10,0.43,8,1,0,0,1,0,Matches
Eric Ramires,br BRA,MF,20.0,23.0,56,2.44,52,0,1,2,1,0,2,0.09,2,0,0,0,0,0,Matches
Leo Ortiz,br BRA,DF,25.0,22.9,32,1.39,27,3,0,1,0,1,2,0.09,2,0,0,0,0,0,Matches
Tomás Cuello,ar ARG,"FW,MF",20.0,22.0,77,3.5,44,8,13,3,7,2,9,0.41,7,1,1,0,0,0,Matches
Jadsom,br BRA,MF,19.0,20.5,46,2.25,40,1,2,0,1,2,3,0.15,3,0,0,0,0,0,Matches
Natan,br BRA,DF,19.0,19.0,12,0.63,11,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luan Cândido,br BRA,DF,19.0,15.7,16,1.02,8,3,2,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Praxedes,br BRA,MF,18.0,13.5,49,3.63,36,0,4,3,5,1,7,0.52,6,0,0,0,1,0,Matches
Edimar Fraga,br BRA,DF,34.0,13.9,24,1.73,22,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Evangelista,br BRA,MF,25.0,12.2,32,2.63,24,0,0,2,6,0,3,0.25,3,0,0,0,0,0,Matches
Raul,br BRA,MF,24.0,10.6,19,1.8,14,2,0,1,2,0,3,0.28,3,0,0,0,0,0,Matches
Weverson,br BRA,"DF,FW",20.0,9.6,5,0.52,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedrinho,br BRA,"MF,FW",21.0,8.3,32,3.87,23,2,3,2,1,1,3,0.36,3,0,0,0,0,0,Matches
Weverton,br BRA,DF,21.0,7.6,12,1.58,8,3,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alerrandro,br BRA,FW,21.0,8.6,19,2.21,16,0,1,0,2,0,2,0.23,2,0,0,0,0,0,Matches
Emiliano Martínez,uy URU,MF,21.0,6.3,11,1.75,8,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Claudinho,br BRA,MF,24.0,5.0,32,6.44,24,7,0,1,0,0,3,0.6,2,1,0,0,0,0,Matches
Gabriel Novaes,br BRA,"FW,MF",21.0,6.0,13,2.18,11,0,0,0,2,0,3,0.5,3,0,0,0,0,0,Matches
Júlio César,br BRA,GK,36.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jan Carlos Hurtado,ve VEN,FW,20.0,3.5,13,3.73,8,0,1,2,2,0,2,0.57,1,0,0,1,0,0,Matches
Leonardo Realpe,ec ECU,DF,19.0,2.9,5,1.72,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitinho,br BRA,MF,22.0,2.1,3,1.46,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luciano,br BRA,MF,17.0,2.3,2,0.88,2,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
Rafael Luiz,br BRA,DF,18.0,1.7,4,2.37,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cristiano Japa,br BRA,"MF,FW",20.0,1.6,1,0.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
