Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Cleiton Schwengber,br BRA,GK,24.0,37,37,3330,37.0,57,1.54,163,107,70.6,11,11,15,7,18.9,11,9,1,1,10.0,Matches
Lucão,br BRA,GK,20.0,1,1,90,1.0,2,2.0,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,23.8,38,38,3420,38.0,59,1.55,170,112,70.6,11,11,16,7,18.4,11,9,1,1,10.0,
Opponent Total,,,27.3,38,38,3420,38.0,49,1.29,171,122,73.7,16,11,11,10,26.3,5,4,1,0,20.0,
