Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Marcos Felipe,br BRA,GK,24.0,36.0,36,7,1,6,2,37.9,0.22,3.9,0.11,155,401,38.7,570,141,44.6,37.2,258,57.0,43.3,515,31,6.0,18,0.5,11.0,Matches
Muriel Becker,br BRA,GK,33.0,2.0,2,2,0,0,0,3.0,0.27,1.0,0.51,1,7,14.3,23,7,17.4,22.8,16,18.8,19.8,29,2,6.9,4,2.0,14.2,Matches
Squad Total,,,26.5,38.0,38,9,1,6,2,41.0,0.22,5.0,0.13,156,408,38.2,592,148,43.4,22.8,275,54.9,42.0,544,33,6.1,22,0.58,14.2,
Opponent Total,,,26.9,38.0,38,4,1,7,1,44.9,0.29,7.9,0.21,153,379,40.4,815,179,32.9,32.7,264,42.0,36.3,579,35,6.0,30,0.79,12.5,
