Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Diego Cavalieri,br BRA,GK,31.0,32,32,2880,32.0,,,0,0.0,,14,8,10,12,37.5,2,1,1,0,50.0,Matches
Felipe Garcia,br BRA,GK,26.0,3,3,270,3.0,,,0,0.0,,2,0,1,1,33.3,1,1,0,0,0.0,Matches
Kléver,br BRA,GK,24.0,3,3,270,3.0,,,0,0.0,,1,2,0,1,33.3,1,1,0,0,0.0,Matches
Squad Total,,,27.3,38,38,3420,38.0,0.0,0.0,0,0.0,,17,10,11,14,36.8,4,3,1,0,25.0,
Opponent Total,,,26.2,38,38,3420,38.0,,,0,,,11,10,17,7,18.4,7,6,0,1,0.0,
