Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Nino,br BRA,DF,21.0,36,3236.0,90.0,94.6,36.0,36,90.0,33.0,0,,0,1.25,38.0,43.0,-5.0,-0.14,1.33,53.0,50.2,2.9,0.08,0.71,Matches
Caio Henrique Oliveira Silva,br BRA,DF,21.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.17,35.0,45.0,-10.0,-0.29,-0.95,51.5,47.9,3.6,0.1,0.76,Matches
Yony González,co COL,"MF,FW",24.0,34,2915.0,86.0,85.2,32.4,34,86.0,27.0,0,,0,1.21,33.0,39.0,-6.0,-0.19,0.17,49.4,44.8,4.6,0.14,0.68,Matches
Gilberto,br BRA,DF,25.0,31,2743.0,88.0,80.2,30.5,31,88.0,28.0,0,,3,1.32,34.0,37.0,-3.0,-0.1,0.57,42.4,43.9,-1.4,-0.05,-0.45,Matches
Allan,br BRA,MF,21.0,28,2496.0,89.0,73.0,27.7,28,89.0,23.0,0,,0,1.21,29.0,32.0,-3.0,-0.11,0.38,41.9,34.8,7.1,0.26,0.79,Matches
Danielzinho,br BRA,MF,23.0,30,2326.0,78.0,68.0,25.8,28,81.0,14.0,2,36.0,7,1.3,29.0,25.0,4.0,0.15,1.14,37.8,34.5,3.3,0.13,0.27,Matches
Ganso,br BRA,"MF,FW",29.0,28,2244.0,80.0,65.6,24.9,26,84.0,14.0,2,25.0,0,1.21,24.0,27.0,-3.0,-0.12,0.26,37.4,31.9,5.5,0.22,0.52,Matches
Muriel Becker,br BRA,GK,31.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,2,1.19,17.0,24.0,-7.0,-0.33,-0.27,30.5,31.8,-1.3,-0.06,-0.24,Matches
Yuri Oliveira Lima,br BRA,"MF,DF",24.0,25,1808.0,72.0,52.9,20.1,21,80.0,13.0,4,32.0,7,1.08,17.0,21.0,-4.0,-0.2,0.02,23.8,24.5,-0.7,-0.03,-0.16,Matches
Digão,br BRA,DF,30.0,21,1756.0,84.0,51.3,19.5,21,84.0,18.0,0,,0,1.43,16.0,18.0,-2.0,-0.1,0.22,27.5,25.6,1.9,0.1,0.12,Matches
Nenê,br BRA,"MF,FW",37.0,25,1615.0,65.0,47.2,17.9,19,79.0,10.0,6,18.0,1,1.44,16.0,19.0,-3.0,-0.17,0.08,20.4,26.6,-6.2,-0.35,-0.74,Matches
João Pedro,br BRA,FW,17.0,25,1694.0,68.0,49.5,18.8,18,84.0,13.0,7,27.0,3,1.0,17.0,20.0,-3.0,-0.16,0.1,26.3,26.9,-0.5,-0.03,-0.14,Matches
Marcos Paulo,br BRA,"FW,MF",17.0,24,1391.0,58.0,40.7,15.5,16,74.0,5.0,8,26.0,9,1.21,16.0,15.0,1.0,0.06,0.46,23.5,17.6,5.9,0.38,0.57,Matches
Igor Julião,br BRA,DF,24.0,15,796.0,53.0,23.3,8.8,8,84.0,6.0,7,17.0,21,1.4,7.0,13.0,-6.0,-0.68,-0.61,12.6,12.2,0.4,0.04,0.0,Matches
Airton,br BRA,MF,28.0,11,461.0,42.0,13.5,5.1,8,51.0,0.0,3,17.0,16,1.64,4.0,9.0,-5.0,-0.98,-0.88,7.6,9.9,-2.3,-0.45,-0.57,Matches
Pedro,br BRA,FW,21.0,10,628.0,63.0,18.4,7.0,7,79.0,4.0,3,25.0,0,0.7,9.0,13.0,-4.0,-0.57,-0.44,12.0,10.7,1.3,0.19,0.18,Matches
Matheus Ferraz,br BRA,DF,33.0,7,571.0,82.0,16.7,6.3,7,82.0,6.0,0,,0,0.86,12.0,13.0,-1.0,-0.16,0.06,12.1,10.6,1.5,0.24,0.24,Matches
Wellington Nem,br BRA,"MF,FW",26.0,18,737.0,41.0,21.5,8.2,6,71.0,0.0,12,26.0,5,1.22,5.0,10.0,-5.0,-0.61,-0.51,15.4,13.0,2.3,0.29,0.31,Matches
Marcos Felipe,br BRA,GK,22.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,6,2.0,6.0,3.0,3.0,0.5,0.84,6.9,5.3,1.6,0.27,0.27,Matches
Luciano,br BRA,"FW,MF",25.0,6,518.0,86.0,15.1,5.8,6,86.0,4.0,0,,0,1.17,7.0,8.0,-1.0,-0.17,0.04,10.5,7.1,3.4,0.59,0.64,Matches
Agenor Detofol,br BRA,GK,29.0,6,515.0,86.0,15.1,5.7,6,86.0,5.0,0,,29,1.0,8.0,7.0,1.0,0.17,0.45,8.3,7.1,1.2,0.21,0.2,Matches
Frazan,br BRA,DF,22.0,11,562.0,51.0,16.4,6.2,5,90.0,4.0,6,18.0,18,1.18,3.0,7.0,-4.0,-0.64,-0.51,6.9,10.6,-3.7,-0.6,-0.77,Matches
