Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Júlio César,br BRA,GK,31.0,35,3105.0,89.0,90.8,34.5,35,89.0,34.0,0,,0,1.29,32.0,39.0,-7.0,-0.2,1.8,Matches
Richard,br BRA,MF,23.0,34,2975.0,88.0,87.0,33.1,33,89.0,32.0,1,23.0,1,1.24,30.0,38.0,-8.0,-0.24,0.97,Matches
Jadson,br BRA,MF,24.0,33,2700.0,82.0,78.9,30.0,33,82.0,21.0,0,,1,1.21,25.0,37.0,-12.0,-0.4,-0.15,Matches
Ayrton Lucas,br BRA,"DF,MF",20.0,28,2456.0,88.0,71.8,27.3,28,88.0,25.0,0,,1,1.14,22.0,30.0,-8.0,-0.29,0.27,Matches
Gum,br BRA,DF,32.0,28,2369.0,85.0,69.3,26.3,28,85.0,23.0,0,,0,1.39,26.0,26.0,0.0,0.0,1.2,Matches
Junior Sornoza,ec ECU,"FW,MF",24.0,29,2180.0,75.0,63.7,24.2,26,81.0,13.0,3,22.0,2,1.07,21.0,29.0,-8.0,-0.33,0.11,Matches
Digão,br BRA,DF,29.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,0,1.29,17.0,24.0,-7.0,-0.29,0.21,Matches
Pedro,br BRA,FW,20.0,19,1595.0,84.0,46.6,17.7,19,84.0,12.0,0,,0,1.37,20.0,20.0,0.0,0.0,0.69,Matches
Marcos Júnior,br BRA,"FW,MF",25.0,28,1370.0,49.0,40.1,15.2,17,67.0,4.0,11,21.0,5,1.32,15.0,20.0,-5.0,-0.33,0.07,Matches
Luciano,br BRA,"FW,MF",24.0,18,1378.0,77.0,40.3,15.3,15,85.0,11.0,3,34.0,2,1.06,10.0,14.0,-4.0,-0.26,0.18,Matches
Leonardo Morais,br BRA,DF,26.0,15,1270.0,85.0,37.1,14.1,15,85.0,11.0,0,,9,1.13,14.0,14.0,0.0,0.0,0.59,Matches
Gilberto,br BRA,"DF,MF",24.0,15,1242.0,83.0,36.3,13.8,15,83.0,12.0,0,,1,1.33,14.0,17.0,-3.0,-0.22,0.24,Matches
Everaldo,br BRA,"FW,MF",23.0,23,1314.0,57.0,38.4,14.6,14,76.0,5.0,9,28.0,0,1.3,10.0,14.0,-4.0,-0.27,0.15,Matches
Roger Ibanez,br BRA,DF,19.0,14,964.0,69.0,28.2,10.7,12,76.0,6.0,2,24.0,11,1.07,10.0,15.0,-5.0,-0.47,-0.14,Matches
Dodi,br BRA,MF,21.0,17,923.0,54.0,27.0,10.3,11,77.0,6.0,6,13.0,14,1.35,5.0,12.0,-7.0,-0.68,-0.43,Matches
Marlon,br BRA,DF,20.0,12,952.0,79.0,27.8,10.6,10,90.0,10.0,2,25.0,23,1.17,10.0,14.0,-4.0,-0.38,-0.01,Matches
Renato Chaves,br BRA,DF,27.0,10,837.0,84.0,24.5,9.3,10,84.0,7.0,0,,0,1.4,12.0,10.0,2.0,0.22,0.77,Matches
