Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-04-11,21:45,Sudamericana,First stage,Wed,Home,W,3,0,bo Nacional Potosí,76.0,,Gum,3-4-3,4-4-2,Nicolás Gallo,Match Report,Leg 1 of 2
2018-04-15,16:00,Série A,Matchweek 1,Sun,Away,L,1,2,Corinthians,35.0,28777.0,Gum,5-4-1,4-2-4-0,Anderson Daronco,Match Report,
2018-04-22,16:00,Série A,Matchweek 2,Sun,Home,W,1,0,Cruzeiro,33.0,10016.0,Gum,3-4-1-2,4-4-2,Flavio Rodrigues De Souza,Match Report,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Home,D,1,1,São Paulo,54.0,19237.0,Gum,3-4-3,4-4-1-1,Rodolpho Toski Marques,Match Report,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Away,W,2,1,Vitória,65.0,6652.0,Renato Chaves,3-1-4-2,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-05-10,20:45,Sudamericana,First stage,Thu,Away,L,0,2,bo Nacional Potosí,34.0,,Gum,5-4-1,4-3-3,Esteban Ostojich,Match Report,Leg 2 of 2; Fluminense won
2018-05-14,20:00,Série A,Matchweek 5,Mon,Away,L,1,2,Botafogo (RJ),59.0,10382.0,Gum,3-4-3,4-2-3-1,Raphael Claus,Match Report,
2018-05-20,19:00,Série A,Matchweek 6,Sun,Home,W,2,0,Ath Paranaense,32.0,9172.0,Gum,5-4-1,3-4-3,Igor Junior Benevenuto,Match Report,
2018-05-26,16:00,Série A,Matchweek 7,Sat,Home,W,3,1,Chapecoense,45.0,14541.0,Gum,3-4-3,4-1-4-1,Rafael Traci,Match Report,
2018-05-30,21:45,Série A,Matchweek 8,Wed,Away,D,0,0,Grêmio,31.0,18149.0,Renato Chaves,5-4-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
