Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
10,Santos,38,13,11,14,46,40,6,50,1.32,11793,Gabriel Barbosa - 18,Vanderlei,→ Copa Sudamericana via league finish
11,Bahia,38,12,12,14,39,41,-2,48,1.26,19334,Gilberto - 8,Douglas Friedrich,→ Copa Sudamericana via league finish
12,Fluminense,38,12,9,17,32,46,-14,45,1.18,15503,Pedro - 10,Júlio César,→ Copa Sudamericana via league finish
13,Corinthians,38,11,11,16,34,35,-1,44,1.16,31367,Ángel Romero - 6,Cássio,→ Copa Sudamericana via league finish
14,Chapecoense,38,11,11,16,34,50,-16,44,1.16,10013,Leandro Pereira - 11,Jandrei,→ Copa Sudamericana via league finish
