Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Gustavo Scarpa,br BRA,"DF,FW",23.0,38,3159.0,83.0,92.4,35.1,37,85.0,26.0,1,4.0,0,1.24,45.0,49.0,-4.0,-0.11,-0.46,Matches
Henrique Dourado,br BRA,FW,27.0,32,2774.0,87.0,81.1,30.8,32,87.0,23.0,0,,0,1.31,42.0,38.0,4.0,0.13,1.11,Matches
Lucas Marques,br BRA,DF,28.0,32,2748.0,86.0,80.4,30.5,32,86.0,24.0,0,,0,1.09,38.0,46.0,-8.0,-0.26,-0.93,Matches
Wendel,br BRA,MF,19.0,33,2620.0,79.0,76.6,29.1,29,86.0,22.0,4,31.0,1,1.15,37.0,43.0,-6.0,-0.21,-0.54,Matches
Henrique,br BRA,DF,30.0,29,2587.0,89.0,75.6,28.7,29,89.0,27.0,0,,0,1.24,40.0,40.0,0.0,0.0,0.32,Matches
Júlio César,br BRA,GK,30.0,22,1980.0,90.0,57.9,22.0,22,90.0,22.0,0,,16,1.14,27.0,29.0,-2.0,-0.09,-0.03,Matches
Jefferson Orejuela,ec ECU,MF,23.0,21,1819.0,87.0,53.2,20.2,21,87.0,17.0,0,,8,1.29,27.0,25.0,2.0,0.1,0.38,Matches
Léo Pelé,br BRA,DF,20.0,22,1659.0,75.0,48.5,18.4,19,85.0,17.0,3,13.0,12,1.14,21.0,27.0,-6.0,-0.33,-0.48,Matches
Reginaldo,br BRA,DF,24.0,18,1547.0,86.0,45.2,17.2,18,86.0,17.0,0,,6,1.22,21.0,24.0,-3.0,-0.17,-0.17,Matches
Diego Cavalieri,br BRA,GK,34.0,16,1440.0,90.0,42.1,16.0,16,90.0,16.0,0,,21,1.38,23.0,24.0,-1.0,-0.06,0.03,Matches
Marlon,br BRA,DF,19.0,15,1315.0,88.0,38.5,14.6,15,88.0,14.0,0,,6,1.4,22.0,19.0,3.0,0.21,0.46,Matches
Marlon Freitas,br BRA,MF,21.0,16,1214.0,76.0,35.5,13.5,15,79.0,9.0,1,25.0,10,1.0,14.0,21.0,-7.0,-0.52,-0.68,Matches
Renato Chaves,br BRA,DF,26.0,14,1260.0,90.0,36.8,14.0,14,90.0,14.0,0,,6,1.5,21.0,18.0,3.0,0.21,0.46,Matches
Richarlison,br BRA,"FW,MF",19.0,14,1227.0,88.0,35.9,13.6,14,88.0,9.0,0,,0,1.43,22.0,18.0,4.0,0.29,0.58,Matches
Douglas,br BRA,MF,20.0,14,1127.0,81.0,33.0,12.5,13,85.0,8.0,1,24.0,1,1.21,17.0,17.0,0.0,0.0,0.12,Matches
Junior Sornoza,ec ECU,"FW,MF",23.0,15,1058.0,71.0,30.9,11.8,13,77.0,5.0,2,29.0,2,1.53,20.0,13.0,7.0,0.6,0.98,Matches
Wellington Silva,br BRA,"FW,MF",24.0,18,1031.0,57.0,30.1,11.5,11,78.0,2.0,7,25.0,0,1.17,16.0,11.0,5.0,0.44,0.74,Matches
Marcos Júnior,br BRA,"FW,MF",24.0,25,986.0,39.0,28.8,11.0,11,73.0,1.0,14,13.0,11,1.4,14.0,20.0,-6.0,-0.55,-0.66,Matches
Marcos Calazans,br BRA,MF,20.0,11,686.0,62.0,20.1,7.6,8,76.0,4.0,3,27.0,4,1.09,12.0,12.0,0.0,0.0,0.1,Matches
Richard,br BRA,MF,22.0,8,593.0,74.0,17.3,6.6,7,83.0,4.0,1,13.0,1,1.38,8.0,8.0,0.0,0.0,0.1,Matches
Ygor Nogueira,br BRA,DF,21.0,11,647.0,59.0,18.9,7.2,6,84.0,5.0,5,29.0,13,1.18,10.0,15.0,-5.0,-0.7,-0.76,Matches
Mateus Norton,br BRA,MF,20.0,12,626.0,52.0,18.3,7.0,6,83.0,4.0,6,21.0,14,1.58,11.0,10.0,1.0,0.14,0.27,Matches
