Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Flamengo,38,21,8,9,68,48,20,71,1.87,78.3,35.2,43.1,1.13,,Gabriel Barbosa - 14,Hugo Souza,→ Copa Libertadores via league finish
2,Internacional,38,20,10,8,61,35,26,70,1.84,55.3,36.2,19.1,0.5,,Thiago Galhardo - 17,Marcelo Lomba,→ Copa Libertadores via league finish
3,Atlético Mineiro,38,20,8,10,64,45,19,68,1.79,68.5,45.7,22.8,0.6,,Keno - 10,Éverson,→ Copa Libertadores via league finish
