Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Júlio César,br BRA,GK,38.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Orlando Berrío,co COL,"FW,MF",26.0,9,0,149.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,Matches
Gabriel Batista,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Dantas,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Ederson,br BRA,MF,32.0,0,0,,,,,,,,,,,,,,,,Matches
Klebinho,br BRA,"DF,MF",19.0,0,0,,,,,,,,,,,,,,,,Matches
Michael,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Mosquito,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,Matches
Yuri de Oliveira,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Ronaldo,br BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Rafael Santos,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Wendel,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,38,418,3420.0,38.0,58.0,39.0,97.0,55.0,3.0,3.0,85.0,10.0,1.53,1.03,2.55,1.45,2.47,
Opponent Total,,,27.0,38,418,3420.0,38.0,29.0,22.0,51.0,27.0,2.0,4.0,96.0,10.0,0.76,0.58,1.34,0.71,1.29,
