Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Everton Ribeiro,br BRA,"FW,MF",28.0,35,2813.0,80.0,82.3,31.3,34,82.0,17.0,1,27.0,0,1.89,48.0,23.0,25.0,0.8,0.06,Matches
Renê,br BRA,DF,25.0,34,2977.0,88.0,87.0,33.1,33,90.0,32.0,1,7.0,2,1.85,53.0,25.0,28.0,0.85,0.44,Matches
Léo Duarte,br BRA,DF,21.0,33,2938.0,89.0,85.9,32.6,33,89.0,32.0,0,,3,1.97,52.0,24.0,28.0,0.86,0.48,Matches
Lucas Paquetá,br BRA,"FW,MF",20.0,32,2743.0,86.0,80.2,30.5,31,88.0,26.0,1,22.0,0,1.88,45.0,23.0,22.0,0.72,-0.34,Matches
Gustavo Cuellar,co COL,MF,25.0,28,2309.0,82.0,67.5,25.7,27,85.0,21.0,1,5.0,1,2.0,45.0,19.0,26.0,1.01,0.69,Matches
Réver,br BRA,DF,33.0,26,2269.0,87.0,66.3,25.2,26,87.0,24.0,0,,0,2.04,44.0,16.0,28.0,1.11,0.95,Matches
Rodinei,br BRA,DF,26.0,28,2079.0,74.0,60.8,23.1,23,88.0,22.0,5,10.0,8,1.86,36.0,17.0,19.0,0.82,0.08,Matches
Diego Alves,br BRA,GK,32.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,0,1.96,34.0,16.0,18.0,0.78,-0.02,Matches
Diego,br BRA,MF,32.0,26,2026.0,78.0,59.2,22.5,22,86.0,16.0,4,35.0,0,1.88,37.0,14.0,23.0,1.02,0.57,Matches
Vitinho,br BRA,"FW,MF",24.0,22,1616.0,73.0,47.3,18.0,19,81.0,6.0,3,26.0,0,1.73,24.0,15.0,9.0,0.5,-0.55,Matches
Pará,br BRA,"DF,MF",31.0,20,1454.0,73.0,42.5,16.2,16,86.0,11.0,4,19.0,11,1.75,26.0,14.0,12.0,0.74,-0.08,Matches
Fernando Uribe,co COL,FW,30.0,20,1327.0,66.0,38.8,14.7,16,78.0,6.0,4,21.0,2,1.55,25.0,15.0,10.0,0.68,-0.18,Matches
