Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Léo Moura,br BRA,"DF,MF",35.0,33,2795.0,85.0,81.7,31.1,33,85.0,29.0,0,,0,1.42,31.0,37.0,-6.0,-0.19,-0.91,Matches
Wallace Reis,br BRA,DF,26.0,31,2624.0,85.0,76.7,29.2,31,85.0,28.0,0,,0,1.45,36.0,35.0,1.0,0.03,0.26,Matches
Márcio Araújo,br BRA,"DF,MF",29.0,32,2575.0,80.0,75.3,28.6,31,82.0,21.0,1,45.0,3,1.41,30.0,36.0,-6.0,-0.21,-0.74,Matches
Paulo Victor Vidotti,br BRA,GK,27.0,29,2610.0,90.0,76.3,29.0,29,90.0,29.0,0,,8,1.59,39.0,31.0,8.0,0.28,1.28,Matches
Éverton,br BRA,MF,25.0,28,2439.0,87.0,71.3,27.1,28,87.0,23.0,0,,0,1.57,34.0,27.0,7.0,0.26,0.99,Matches
Alecsandro,br BRA,FW,32.0,24,1927.0,80.0,56.3,21.4,24,80.0,15.0,0,,0,1.25,21.0,28.0,-7.0,-0.33,-0.69,Matches
Héctor Canteros,ar ARG,MF,24.0,24,2024.0,84.0,59.2,22.5,23,87.0,19.0,1,27.0,0,1.79,35.0,24.0,11.0,0.49,1.26,Matches
João Paulo,br BRA,DF,27.0,28,2038.0,73.0,59.6,22.6,21,88.0,20.0,7,27.0,8,1.54,28.0,22.0,6.0,0.26,0.72,Matches
Víctor Cáceres,py PAR,"DF,MF",28.0,20,1615.0,81.0,47.2,17.9,20,81.0,12.0,0,,2,1.8,31.0,13.0,18.0,1.0,1.95,Matches
Luiz Antônio,br BRA,"DF,MF",22.0,27,1537.0,57.0,44.9,17.1,19,71.0,9.0,8,24.0,8,1.15,17.0,25.0,-8.0,-0.47,-0.8,Matches
Samir Santos,br BRA,DF,19.0,17,1351.0,79.0,39.5,15.0,17,79.0,12.0,0,,8,1.0,18.0,23.0,-5.0,-0.33,-0.51,Matches
Marcelo,br BRA,DF,22.0,17,1450.0,85.0,42.4,16.1,16,89.0,15.0,1,22.0,12,1.71,19.0,17.0,2.0,0.12,0.26,Matches
Chicão,br BRA,DF,32.0,18,1438.0,80.0,42.0,16.0,14,87.0,13.0,4,55.0,11,1.17,17.0,20.0,-3.0,-0.19,-0.28,Matches
Paulinho,br BRA,"FW,MF",25.0,13,1016.0,78.0,29.7,11.3,13,78.0,8.0,0,,0,1.23,8.0,14.0,-6.0,-0.53,-0.72,Matches
Lucas Mugni,ar ARG,MF,22.0,25,1251.0,50.0,36.6,13.9,10,73.0,4.0,15,35.0,11,1.28,18.0,16.0,2.0,0.14,0.27,Matches
Gabriel,br BRA,"FW,MF",24.0,21,1043.0,50.0,30.5,11.6,10,72.0,5.0,11,30.0,4,1.33,15.0,15.0,0.0,0.0,0.04,Matches
Eduardo da Silva,hr CRO,FW,30.0,18,879.0,49.0,25.7,9.8,10,62.0,1.0,8,33.0,1,1.61,18.0,8.0,10.0,1.02,1.41,Matches
