Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Éverton,br BRA,MF,26.0,33,2695.0,82.0,78.8,29.9,32,83.0,21.0,1,30.0,1,1.27,36.0,45.0,-9.0,-0.3,-0.42,Matches
Márcio Araújo,br BRA,"DF,MF",30.0,33,2743.0,83.0,80.2,30.5,30,89.0,26.0,3,26.0,4,1.39,36.0,42.0,-6.0,-0.2,0.07,Matches
Héctor Canteros,ar ARG,MF,25.0,34,2540.0,75.0,74.3,28.2,30,82.0,18.0,4,19.0,1,1.35,34.0,41.0,-7.0,-0.25,-0.15,Matches
Wallace Reis,br BRA,DF,27.0,28,2425.0,87.0,70.9,26.9,28,87.0,25.0,0,,1,1.32,32.0,36.0,-4.0,-0.15,0.21,Matches
Pará,br BRA,"DF,MF",28.0,29,2388.0,82.0,69.8,26.5,28,84.0,22.0,1,45.0,5,1.17,34.0,42.0,-8.0,-0.3,-0.3,Matches
Paulo Victor Vidotti,br BRA,GK,28.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,0,1.17,29.0,34.0,-5.0,-0.21,0.01,Matches
Alan Patrick,br BRA,MF,23.0,26,2028.0,78.0,59.3,22.5,22,85.0,16.0,4,42.0,4,1.15,30.0,31.0,-1.0,-0.04,0.41,Matches
Jorge,br BRA,DF,18.0,22,1964.0,89.0,57.4,21.8,22,89.0,20.0,0,,1,1.45,26.0,26.0,0.0,0.0,0.49,Matches
Emerson Sheik,qa QAT,FW,36.0,22,1826.0,83.0,53.4,20.3,22,83.0,15.0,0,,0,1.5,28.0,23.0,5.0,0.25,0.98,Matches
