Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Diego Alves,br BRA,GK,33.0,32.0,30,6,1,3,1,38.5,0.27,9.5,0.3,127,275,46.2,531,106,32.4,33.0,198,52.0,41.2,330,13,3.9,27,0.84,15.5,Matches
César,br BRA,GK,27.0,6.0,6,0,0,0,0,6.8,0.27,0.8,0.14,20,53,37.7,78,30,38.5,35.2,37,62.2,48.8,56,3,5.4,3,0.5,11.1,Matches
Gabriel Batista,br BRA,GK,20.0,0.0,1,0,0,0,0,0.7,0.68,-0.3,-28.86,1,3,33.3,2,0,100.0,45.0,1,100.0,57.0,1,0,0.0,0,0.0,,Matches
Squad Total,,,26.8,38.0,37,6,1,3,1,46.1,0.27,10.1,0.26,148,331,44.7,610,136,33.3,,237,54.0,42.5,387,16,4.1,30,0.79,,
Opponent Total,,,27.4,38.0,86,6,0,10,1,80.4,0.35,-4.6,-0.12,209,559,37.4,723,157,44.5,37.0,360,65.8,48.2,577,32,5.5,12,0.32,10.2,
