Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Diego Alves,br BRA,GK,32.0,23,23,2070,23.0,16,0.7,75,61,80.0,13,6,4,11,47.8,2,1,1,0,50.0,Matches
César,br BRA,GK,26.0,14,14,1260,14.0,13,0.93,48,37,75.0,7,3,4,8,57.1,2,1,1,0,50.0,Matches
Júlio César,br BRA,GK,38.0,1,1,90,1.0,0,0.0,5,5,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,26.6,38,38,3420,38.0,29,0.76,128,103,78.9,21,9,8,20,52.6,4,2,2,0,50.0,
Opponent Total,,,27.0,38,38,3419,38.0,59,1.55,195,139,71.3,8,9,21,5,13.2,3,3,0,0,0.0,
