Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
10,Ath Paranaense,19,9,6,4,30,20,10,33,1.74,19,5,3,11,13,28,-15,18,0.95
11,Ponte Preta,19,9,4,6,22,15,7,31,1.63,19,4,8,7,19,25,-6,20,1.05
12,Flamengo,19,8,3,8,28,26,2,27,1.42,19,7,1,11,17,27,-10,22,1.16
13,Fluminense,19,10,3,6,25,19,6,33,1.74,19,4,2,13,15,30,-15,14,0.74
14,Chapecoense,19,9,5,5,23,19,4,32,1.68,19,3,6,10,11,25,-14,15,0.79
