Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Botafogo (RJ),19,12,5,2,31,13,18,41,2.16,32.6,15.7,16.9,0.89,19,11,5,3,28,16,12,38,2.0,24.7,19.5,5.2,0.27
2,Palmeiras,19,12,2,5,34,16,18,38,2.0,36.7,16.0,20.6,1.09,19,10,5,4,26,17,9,35,1.84,30.4,20.4,10.0,0.52
3,Flamengo,19,11,5,3,30,21,9,38,2.0,28.6,17.2,11.4,0.6,19,9,5,5,31,21,10,32,1.68,27.8,23.0,4.8,0.25
4,Fortaleza,19,14,5,0,32,8,24,47,2.47,26.1,14.7,11.4,0.6,19,5,6,8,21,31,-10,21,1.11,17.5,34.3,-16.9,-0.89
5,Internacional,19,11,5,3,30,15,15,38,2.0,34.7,14.0,20.7,1.09,19,7,6,6,23,21,2,27,1.42,23.7,19.5,4.3,0.23
6,São Paulo,19,12,3,4,31,18,13,39,2.05,23.0,16.6,6.4,0.34,19,5,5,9,22,25,-3,20,1.05,17.3,18.8,-1.4,-0.08
7,Corinthians,19,10,8,1,37,18,19,38,2.0,27.7,17.5,10.1,0.53,19,5,3,11,17,27,-10,18,0.95,21.4,25.5,-4.1,-0.22
8,Bahia,19,11,3,5,25,15,10,36,1.89,28.2,16.3,12.0,0.63,19,4,5,10,24,34,-10,17,0.89,23.1,26.9,-3.8,-0.2
9,Cruzeiro,19,10,5,4,29,16,13,35,1.84,26.1,19.4,6.7,0.35,19,4,5,10,14,25,-11,17,0.89,13.9,26.0,-12.1,-0.64
10,Vasco da Gama,19,10,5,4,29,24,5,35,1.84,20.6,21.4,-0.8,-0.04,19,4,3,12,14,32,-18,15,0.79,16.2,31.3,-15.1,-0.79
11,Vitória,19,8,3,8,23,23,0,27,1.42,25.6,22.5,3.1,0.16,19,5,5,9,22,29,-7,20,1.05,16.9,21.8,-4.9,-0.26
12,Atlético Mineiro,19,7,7,5,27,26,1,28,1.47,25.3,22.0,3.4,0.18,19,4,7,8,20,28,-8,19,1.0,20.7,23.5,-2.9,-0.15
13,Fluminense,19,7,8,4,20,16,4,29,1.53,21.6,21.4,0.2,0.01,19,5,2,12,13,23,-10,17,0.89,16.0,22.2,-6.1,-0.32
14,Grêmio,19,9,2,8,26,26,0,29,1.53,24.8,22.2,2.6,0.13,19,3,7,9,18,24,-6,16,0.84,18.6,27.2,-8.5,-0.45
15,Juventude,19,8,6,5,27,24,3,30,1.58,24.2,23.4,0.8,0.04,19,3,6,10,21,35,-14,15,0.79,18.7,35.6,-16.9,-0.89
16,RB Bragantino,19,8,7,4,27,19,8,31,1.63,21.2,21.9,-0.7,-0.04,19,2,7,10,17,29,-12,13,0.68,18.2,26.2,-8.0,-0.42
17,Ath Paranaense,19,7,4,8,24,21,3,25,1.32,30.0,22.0,8.0,0.42,19,4,5,10,16,25,-9,17,0.89,17.0,24.7,-7.7,-0.41
18,Criciúma,19,5,8,6,22,27,-5,23,1.21,20.6,24.3,-3.6,-0.19,19,4,3,12,20,34,-14,15,0.79,16.8,32.3,-15.5,-0.82
19,Atl Goianiense,19,5,5,9,16,24,-8,20,1.05,22.6,21.8,0.8,0.04,19,2,4,13,13,34,-21,10,0.53,18.0,30.5,-12.5,-0.66
20,Cuiabá,19,3,5,11,16,23,-7,14,0.74,17.6,20.7,-3.0,-0.16,19,3,7,9,13,26,-13,16,0.84,14.2,28.7,-14.5,-0.76
