Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Sandry,br BRA,MF,19.0,22,692.0,31.0,20.2,7.7,4,85.0,2,18,20.0,9,1.09,12.0,11.0,1.0,0.13,0.06,12.7,11.6,1.1,0.15,0.24,Matches
Luan Vieira,br BRA,"MF,FW",28.0,8,452.0,57.0,13.2,5.0,4,77.0,1,4,36.0,5,0.5,3.0,6.0,-3.0,-0.6,-0.78,4.0,4.3,-0.3,-0.06,-0.02,Matches
Bruno Oliveira,br BRA,"MF,FW",23.0,14,446.0,32.0,13.0,5.0,4,55.0,0,10,23.0,9,1.29,11.0,4.0,7.0,1.41,1.53,9.6,6.0,3.6,0.73,0.9,Matches
Ricardo Goulart,br BRA,"MF,FW",30.0,11,402.0,37.0,11.8,4.5,4,61.0,0,7,23.0,1,1.15,7.0,8.0,-1.0,-0.22,-0.34,7.0,6.1,0.9,0.2,0.29,Matches
Alex,br BRA,DF,22.0,4,335.0,84.0,9.8,3.7,4,84.0,3,0,,7,1.0,4.0,6.0,-2.0,-0.54,-0.68,2.8,4.9,-2.1,-0.56,-0.57,Matches
Ed Carlos,br BRA,MF,20.0,6,261.0,44.0,7.6,2.9,3,68.0,0,3,19.0,4,1.0,6.0,2.0,4.0,1.38,1.41,3.6,3.5,0.1,0.04,0.1,Matches
Rwan,br BRA,"FW,MF",20.0,17,464.0,27.0,13.6,5.2,2,80.0,1,15,20.0,11,0.76,7.0,9.0,-2.0,-0.39,-0.54,8.3,7.2,1.1,0.21,0.29,Matches
Willian Maranhão,br BRA,MF,26.0,4,163.0,41.0,4.8,1.8,1,90.0,1,3,24.0,6,1.75,0.0,1.0,-1.0,-0.55,-0.66,0.6,3.4,-2.8,-1.54,-1.56,Matches
John,br BRA,GK,25.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,28,1.0,0.0,0.0,0.0,0.0,-0.08,0.5,0.4,0.0,0.05,0.1,Matches
Kaiky,br BRA,DF,18.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,6,1.0,2.0,2.0,0.0,0.0,-0.08,2.2,1.5,0.7,0.71,0.78,Matches
Vinicius,br BRA,"MF,DF",22.0,5,75.0,15.0,2.2,0.8,0,,0,5,15.0,13,2.0,2.0,2.0,0.0,0.0,-0.08,1.5,1.8,-0.4,-0.41,-0.38,Matches
Gabriel Pirani,br BRA,"FW,MF",19.0,3,48.0,16.0,1.4,0.5,0,,0,3,16.0,6,0.67,0.0,0.0,0.0,0.0,-0.08,0.7,0.6,0.0,0.06,0.11,Matches
Tailson,br BRA,"FW,DF",22.0,3,35.0,12.0,1.0,0.4,0,,0,3,12.0,5,0.0,0.0,1.0,-1.0,-2.57,-2.68,0.3,0.6,-0.3,-0.74,-0.7,Matches
Marcos Guilherme,br BRA,MF,26.0,1,29.0,29.0,0.8,0.3,0,,0,1,29.0,1,3.0,1.0,0.0,1.0,3.1,3.05,0.5,0.3,0.1,0.45,0.51,Matches
Miguel Terceros,bo BOL,FW,17.0,2,24.0,12.0,0.7,0.3,0,,0,2,12.0,1,1.5,0.0,1.0,-1.0,-3.75,-3.86,0.2,0.3,-0.1,-0.43,-0.38,Matches
Weslley Patati,br BRA,FW,18.0,1,22.0,22.0,0.6,0.2,0,,0,1,22.0,2,3.0,1.0,0.0,1.0,4.09,4.04,0.4,0.2,0.2,0.65,0.7,Matches
Derick Fernando,br BRA,DF,19.0,1,20.0,20.0,0.6,0.2,0,,0,1,20.0,4,0.0,0.0,1.0,-1.0,-4.5,-4.61,0.0,0.2,-0.2,-0.8,-0.76,Matches
Diogenes,br BRA,GK,21.0,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Kevyson,br BRA,MF,17.0,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Paulo Mazoti,br BRA,GK,21.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Jair Paula,br BRA,DF,16.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Leonardo Zabala,bo BOL,DF,18.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,25.4,38,3420.0,90.0,100.0,38.0,418,81.0,245,171,22.0,278,1.24,44.0,41.0,3.0,0.08,,46.2,48.0,-1.8,-0.05,,
Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,233,180,21.0,260,1.47,41.0,44.0,-3.0,-0.08,,48.0,46.2,1.8,0.05,,
